party,political_position,ideology,wikipedia_url,party_display_name
Democratic Party of Albania,Centre-right to right-wing,Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_of_Albania,Democratic Party of Albania
Socialist Party of Albania,Centre-left to Left-wing,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Socialist_Party_of_Albania,Socialist Party of Albania
Freedom Party of Albania,Centre,Social democracy Social conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Party_of_Albania,Freedom Party of Albania
"Party for Justice, Integration and Unity",Right-wing,Cham issue,"https://en.wikipedia.org/wiki/Party_for_Justice,_Integration_and_Unity","Party for Justice, Integration and Unity"
Libra Party,Centre to centre-left,Social liberalism Civic nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Libra_Party_(Albania),Libra Party
Sfida për Shqipërinë,Centre to centre-right,Populism Direct democracy,https://en.wikipedia.org/wiki/Sfida_p%C3%ABr_Shqip%C3%ABrin%C3%AB,Sfida për Shqipërinë
Social Democratic Party of Albania,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Albania,Social Democratic Party of Albania
Nisma Thurje,Big tent,Centrism Populism Anti-corruption,https://en.wikipedia.org/wiki/Nisma_Thurje,Nisma Thurje
Lëvizja Shqipëria Bëhet,Big tent,Direct democracy Civic nationalism,https://en.wikipedia.org/wiki/L%C3%ABvizja_Shqip%C3%ABria_B%C3%ABhet,Lëvizja Shqipëria Bëhet
Opportunity Party,Centre-right,Economic liberalism Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Opportunity_Party_(Albania),Opportunity Party
Lëvizja Bashkë,Left-wing,Democratic socialism Progressivism Left-wing populism Social democracy,https://en.wikipedia.org/wiki/L%C3%ABvizja_Bashk%C3%AB,Lëvizja Bashkë
Euroatlantic Democrats,Centre-right,Liberal conservatism Pro-Europeanism Atlanticism,https://en.wikipedia.org/wiki/Euroatlantic_Democrats,Euroatlantic Democrats
Djathtas për Zhvillim,Centre-right to right-wing,Conservatism Pro-Europeanism Factions: Monarchism,https://en.wikipedia.org/wiki/Djathtas_p%C3%ABr_Zhvillim,Djathtas për Zhvillim
Alliance for a Magnificent Albania,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania,Alliance for a Magnificent Albania
,,,,
