date,party,polling_value,political_position,ideology,wikipedia_url
2025-04-11,/w/index.php?title=Edmond Stojku&action=edit&redlink=1,0.3,,,
2025-04-18,/w/index.php?title=Edmond Stojku&action=edit&redlink=1,0.1,,,
2025-05-02,/w/index.php?title=Edmond Stojku&action=edit&redlink=1,0.1,,,
2025-04-11,/w/index.php?title=Elena Kocaqi&action=edit&redlink=1,0.2,,,
2025-04-18,/w/index.php?title=Elena Kocaqi&action=edit&redlink=1,0.1,,,
2025-04-21,/w/index.php?title=Elena Kocaqi&action=edit&redlink=1,1.1,,,
2025-04-25,/w/index.php?title=Elena Kocaqi&action=edit&redlink=1,0.4,,,
2025-05-02,/w/index.php?title=Elena Kocaqi&action=edit&redlink=1,0.3,,,
2025-04-11,/w/index.php?title=Kreshnik Osmani&action=edit&redlink=1,0.1,,,
2025-04-18,/w/index.php?title=Kreshnik Osmani&action=edit&redlink=1,0.1,,,
2025-05-02,/w/index.php?title=Kreshnik Osmani&action=edit&redlink=1,0.1,,,
2025-04-11,Adriatik Lapaj,6.8,,,
2025-04-18,Adriatik Lapaj,6.1,,,
2025-04-21,Adriatik Lapaj,8.6,,,
2025-04-24,Adriatik Lapaj,5.3,,,
2025-04-25,Adriatik Lapaj,6.8,,,
2025-05-02,Adriatik Lapaj,6.9,,,
2025-04-11,Agron Shehaj,3.5,,,
2025-04-18,Agron Shehaj,4.2,,,
2025-04-21,Agron Shehaj,7.6,,,
2025-04-24,Agron Shehaj,6.6,,,
2025-04-25,Agron Shehaj,3.3,,,
2025-05-02,Agron Shehaj,3.1,,,
2021-04-24,Alliance for a Great Albania,36.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,36.1,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,30.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,39.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,33.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,30.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,38.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-04-28,Alliance for a Great Albania,38.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,35.6,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,26.9,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,55.8,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,44.9,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,47.9,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,31.9,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,32.6,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,26.4,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,34.8,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,33.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2021-05-05,Alliance for a Great Albania,33.8,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-03,Alliance for a Great Albania,30.7,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-06,Alliance for a Great Albania,55.9,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-15,Alliance for a Great Albania,58.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-22,Alliance for a Great Albania,30.6,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-24,Alliance for a Great Albania,34.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-24,Alliance for a Great Albania,43.5,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-24,Alliance for a Great Albania,43.1,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-28,Alliance for a Great Albania,33.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-28,Alliance for a Great Albania,61.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-04-28,Alliance for a Great Albania,45.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-05-04,Alliance for a Great Albania,32.1,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-05-05,Alliance for a Great Albania,32.2,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-05-05,Alliance for a Great Albania,34.6,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2022-05-05,Alliance for a Great Albania,42.8,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-03-13,Alliance for a Magnificent Albania,37.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-03-25,Alliance for a Magnificent Albania,37.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-03,Alliance for a Magnificent Albania,34.7,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-08,Alliance for a Magnificent Albania,35.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-13,Alliance for a Magnificent Albania,35.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-15,Alliance for a Magnificent Albania,35.0,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-20,Alliance for a Magnificent Albania,35.1,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
2025-04-21,Alliance for a Magnificent Albania,33.7,Centre-right to right-wing,Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Alliance_for_a_Great_Albania
