party,party_display_name,display_name,political_position,ideology,wikipedia_url
Republican Party of Armenia,Republican Party of Armenia,,Right-wing,National conservatism Tseghakronism,https://en.wikipedia.org/wiki/Republican_Party_of_Armenia
Tsarukyan Alliance,Tsarukyan Alliance,,,Liberalism,https://en.wikipedia.org/wiki/Tsarukyan_Alliance
Way Out Alliance,Way Out Alliance,,Centre,Liberalism Pro-Europeanism Anti- EAEU Anti-Russian sentiment Armenian civic nationalism,https://en.wikipedia.org/wiki/Way_Out_Alliance
Armenian Revolutionary Federation,Armenian Revolutionary Federation,,Centre-left to left-wing,Armenian nationalism United Armenia Russophilia Social market economy Populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
Free Democrats,Free Democrats,,Centre,Liberalism Pro-Europeanism Pro-Western Anti- EAEU,https://en.wikipedia.org/wiki/Free_Democrats_(Armenia)
Orinats Yerkir,Orinats Yerkir,,Centre-right,Liberal conservatism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Armenian_Renaissance_(party)
Armenian National Congress,Armenian National Congress,,Centre,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Armenian_National_Congress
ORO Alliance,ORO Alliance,,Centre,National liberalism,https://en.wikipedia.org/wiki/ORO_Alliance
Armenian Communist Party,Armenian Communist Party,,Left-wing to far-left,Communism Marxism–Leninism Russophilia Euroscepticism Soviet patriotism,https://en.wikipedia.org/wiki/Armenian_Communist_Party
Prosperous Armenia,Prosperous Armenia,,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
Heritage,Heritage,,Centre to centre-right,National liberalism (self-proclaimed) Liberalism Armenian nationalism Pro-Europeanism Pro-Western,https://en.wikipedia.org/wiki/Heritage_(Armenia)
My Step Alliance,My Step Alliance,,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
Bright Armenia,Bright Armenia,,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
Sasna Tsrer Pan-Armenian Party,Sasna Tsrer Pan-Armenian Party,,Right-wing,Armenian nationalism National conservatism Anti-Russian sentiment Anti- EAEU Anti- CSTO Pro-Europeanism Atlanticism United Armenia,https://en.wikipedia.org/wiki/Sasna_Tsrer_Pan-Armenian_Party
I Have Honor Alliance,I Have Honor Alliance,,Centre-right to right-wing,Conservatism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
National Democratic Alliance,National Democratic Alliance,,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
Hanrapetutyun Party,Hanrapetutyun Party,,Centre to centre-right,Conservative liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Hanrapetutyun_Party
Armenia Alliance,Armenia Alliance,,Centre-right,Conservatism Russophilia,https://en.wikipedia.org/wiki/Armenia_Alliance
Armenian Renaissance,Orinats Yerkir,,Centre-right,Liberal conservatism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Armenian_Renaissance_(party)
#endnote B,#endnote B,,,,
Civil Contract,Civil Contract,,Centre,Liberalism Reformism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/Civil_Contract_(Armenia)
#endnote D,#endnote D,,,,
National Democratic Pole,National Democratic Alliance,,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
Samvel Karapetyan,Samvel Karapetyan,,,,
/w/index.php?title=Vardan Ghukasyan &action=edit&redlink=1,/w/index.php?title=Vardan Ghukasyan &action=edit&redlink=1,,,,
Nikol Pashinyan,Nikol Pashinyan,,,,
Robert Kocharyan,Robert Kocharyan,,,,
Serzh Sargsyan,Serzh Sargsyan,,,,
Gagik Tsarukyan,Gagik Tsarukyan,,,,
Vardan Ghukasyan,Vardan Ghukasyan,,,,
Artur Vanetsyan,Artur Vanetsyan,,,,
Strong Armenia,Strong Armenia,,Big tent,Pro- Church Armenian nationalism [ disputed – discuss ] Russophilia,https://en.wikipedia.org/wiki/Strong_Armenia
For The Republic Party,For The Republic Party,,Centre,Liberalism Pro-Europeanism Pro-Western,https://en.wikipedia.org/wiki/For_The_Republic_Party
