date,party,polling_value,political_position,ideology,wikipedia_url
2019-05-09,ARF,1.6,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2019-05-31,ARF,4.0,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2019-10-13,ARF,3.0,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2019-12-01,ARF,2.5,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2020-06-27,ARF,1.8,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-02-16,ARF,1.0,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-02-17,ARF,2.2,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-03-29,ARF,2.1,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-04-27,ARF,1.1,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-05-04,ARF,1.0,Centre-left to left-wing,Armenian nationalism United Armenia Social market economy Left-wing populism,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation
2021-03-29,Armenia Alliance,5.9,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-04-27,Armenia Alliance,8.1,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-05-21,Armenia Alliance,14.3,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-05-28,Armenia Alliance,17.5,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-06-04,Armenia Alliance,20.6,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-06-10,Armenia Alliance,24.1,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-06-16,Armenia Alliance,12.0,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2021-06-18,Armenia Alliance,28.7,Centre-left,Armenian nationalism Social market economy,https://en.wikipedia.org/wiki/Armenia_Alliance
2018-12-09,Bright Armenia,6.37,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2019-05-09,Bright Armenia,4.6,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2019-05-31,Bright Armenia,4.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2019-10-13,Bright Armenia,6.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2019-12-01,Bright Armenia,3.9,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2020-06-27,Bright Armenia,5.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-02-16,Bright Armenia,1.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-02-17,Bright Armenia,2.6,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-03-29,Bright Armenia,2.7,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-04-27,Bright Armenia,1.8,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-05-04,Bright Armenia,1.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-05-21,Bright Armenia,2.0,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-05-28,Bright Armenia,2.3,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-06-04,Bright Armenia,2.9,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-06-10,Bright Armenia,3.1,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2021-06-18,Bright Armenia,5.2,Centre,Classical liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Armenia
2018-12-09,FD,2.0,Centre,Liberalism Pro-Europeanism Pro-Western Anti- EAEU,https://en.wikipedia.org/wiki/Free_Democrats_(Armenia)
2019-10-13,FD,1.0,Centre,Liberalism Pro-Europeanism Pro-Western Anti- EAEU,https://en.wikipedia.org/wiki/Free_Democrats_(Armenia)
2021-05-04,FD,1.0,Centre,Liberalism Pro-Europeanism Pro-Western Anti- EAEU,https://en.wikipedia.org/wiki/Free_Democrats_(Armenia)
2018-12-09,I'm honored / RPA,4.7,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2019-05-09,I'm honored / RPA,1.6,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2019-05-31,I'm honored / RPA,5.0,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2019-10-13,I'm honored / RPA,4.0,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2019-12-01,I'm honored / RPA,1.5,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2020-06-27,I'm honored / RPA,1.4,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-02-16,I'm honored / RPA,1.0,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-02-17,I'm honored / RPA,2.2,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-03-29,I'm honored / RPA,2.4,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-04-27,I'm honored / RPA,1.8,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-05-04,I'm honored / RPA,1.0,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-05-21,I'm honored / RPA,3.1,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-05-28,I'm honored / RPA,2.7,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-06-04,I'm honored / RPA,3.9,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-06-10,I'm honored / RPA,7.4,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-06-16,I'm honored / RPA,1.0,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2021-06-18,I'm honored / RPA,10.8,Centre-right to right-wing,National conservatism Armenian nationalism Russophilia,https://en.wikipedia.org/wiki/I_Have_Honor_Alliance
2018-12-09,My Step / CC,70.42,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2019-05-09,My Step / CC,60.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2019-05-31,My Step / CC,59.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2019-10-13,My Step / CC,55.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2019-12-01,My Step / CC,61.3,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2020-06-27,My Step / CC,55.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-02-16,My Step / CC,33.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-02-17,My Step / CC,33.1,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-03-29,My Step / CC,31.7,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-04-27,My Step / CC,27.2,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-05-04,My Step / CC,26.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-05-21,My Step / CC,24.8,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-05-28,My Step / CC,22.9,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-06-04,My Step / CC,22.4,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-06-10,My Step / CC,23.8,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-06-16,My Step / CC,24.0,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2021-06-18,My Step / CC,25.2,Centre,Liberal democracy Neoliberalism Reformism,https://en.wikipedia.org/wiki/My_Step_Alliance
2019-05-09,NDP / ST,1.21,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2019-05-31,NDP / ST,1.0,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2019-12-01,NDP / ST,1.1,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2020-06-27,NDP / ST,0.1,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-02-16,NDP / ST,1.0,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-02-17,NDP / ST,0.4,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-03-29,NDP / ST,0.5,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-04-27,NDP / ST,1.1,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-05-04,NDP / ST,1.0,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-05-21,NDP / ST,1.0,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-05-28,NDP / ST,1.7,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-06-04,NDP / ST,1.5,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-06-10,NDP / ST,0.8,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-06-16,NDP / ST,2.0,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2021-06-18,NDP / ST,0.7,,Big tent [ citation needed ] Armenian nationalism Pro-Europeanism Pro-Western Anti-Russian,https://en.wikipedia.org/wiki/National_Democratic_Pole
2018-12-09,PAP,8.26,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2019-05-09,PAP,11.9,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2019-05-31,PAP,12.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2019-10-13,PAP,19.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2019-12-01,PAP,14.2,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2020-06-27,PAP,6.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-02-16,PAP,3.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-02-17,PAP,4.4,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-03-29,PAP,4.4,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-05-04,PAP,1.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-05-21,PAP,4.1,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-05-28,PAP,3.8,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-06-04,PAP,4.2,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-06-10,PAP,3.7,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-06-16,PAP,2.0,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2021-06-18,PAP,5.4,Centre-right,Social conservatism Economic liberalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Prosperous_Armenia
2019-10-13,Republic,1.0,Centre to centre-right,Conservative liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Hanrapetutyun_Party
2021-02-17,Republic,0.7,Centre to centre-right,Conservative liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Hanrapetutyun_Party
2021-03-29,Republic,0.4,Centre to centre-right,Conservative liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Hanrapetutyun_Party
