party,party_display_name,display_name,political_position,ideology,wikipedia_url
New Flemish Alliance,New Flemish Alliance,,Centre-right to right-wing,Flemish nationalism Liberal conservatism,https://en.wikipedia.org/wiki/New_Flemish_Alliance
Vlaams Belang,Vlaams Belang,,Right-wing to far-right,Flemish nationalism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Vlaams_Belang
Christian Democratic and Flemish,Christian Democratic and Flemish,,Centre to centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/Christen-Democratisch_en_Vlaams
Open Flemish Liberals and Democrats,Open Flemish Liberals and Democrats,,Centre-right,Liberalism ( Belgian ) Pro-Europeanism,https://en.wikipedia.org/wiki/Open_Vlaamse_Liberalen_en_Democraten
Vooruit,Vooruit,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Forward_(Belgium)
Groen,Groen,,Centre-left,Green politics,https://en.wikipedia.org/wiki/Groen_(political_party)
Workers' Party of Belgium,Workers' Party of Belgium,,Left-wing to far-left,Marxism Socialism,https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium
Socialist Party,Socialist Party,,Centre-left to left-wing,Social democracy,https://en.wikipedia.org/wiki/Parti_Socialiste_(Belgium)
Reformist Movement,Reformist Movement,,Centre-right to right-wing,Liberalism ( Belgian ),https://en.wikipedia.org/wiki/Mouvement_R%C3%A9formateur
Ecolo,Ecolo,,Centre-left to left-wing,Green politics,https://en.wikipedia.org/wiki/Ecolo
Humanist Democratic Centre,Humanist Democratic Centre,,Centre to centre-right,Christian democracy Christian humanism Pro-Europeanism Factions: Conservatism Christian left,https://en.wikipedia.org/wiki/Centre_d%C3%A9mocrate_humaniste
DéFI,DéFI,,Centre to centre-left,Regionalism Liberalism ( Belgian ) Social liberalism,https://en.wikipedia.org/wiki/D%C3%A9FI
People's Party,People's Party,,Far-right,Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/People%27s_Party_(Belgium)
/w/index.php?title=Droite Citoyenne&action=edit&redlink=1,,,,,
Les Engagés,Les Engagés,,Centre,Social liberalism,https://en.wikipedia.org/wiki/Les_Engag%C3%A9s
#cite note-67,,,,,
Christen-Democratisch en Vlaams,Christian Democratic and Flemish,,Centre to centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/Christen-Democratisch_en_Vlaams
Open Vlaamse Liberalen en Democraten,Anders,,Centre-right,Liberalism ( Belgian ) Pro-Europeanism,https://en.wikipedia.org/wiki/Open_Vlaamse_Liberalen_en_Democraten
Socialistische Partij Anders,Vooruit,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Socialistische_Partij_Anders
Parti Socialiste,Socialist Party,,Centre-left to left-wing,Social democracy,https://en.wikipedia.org/wiki/Parti_Socialiste_(Belgium)
Mouvement Réformateur,Reformist Movement,,Centre-right to right-wing,Liberalism ( Belgian ),https://en.wikipedia.org/wiki/Mouvement_R%C3%A9formateur
Centre démocrate humaniste,Humanist Democratic Centre,,Centre to centre-right,Christian democracy Christian humanism Pro-Europeanism Factions: Conservatism Christian left,https://en.wikipedia.org/wiki/Centre_d%C3%A9mocrate_humaniste
Verhofstadt I Government,Verhofstadt I Government,,,,
Jamaica coalition,Jamaica coalition,,,,
Michel I Government,Michel I Government,,,,
Forward,Vooruit,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Forward_(Belgium)
The Committed,Les Engagés,,Centre,Social liberalism,https://en.wikipedia.org/wiki/The_Committed_(political_party)
#cite note-Purple-Green-coalition-68,#cite note-Purple-Green-coalition-68,,,,
#cite note-Swedish-coalition-69,#cite note-Swedish-coalition-69,,,,
Droite Citoyenne?action=edit&redlink=1,Droite Citoyenne?action=edit&redlink=1,,,,
