party,political_position,ideology,wikipedia_url,party_display_name
Swiss People's Party,Right-wing,National conservatism Economic liberalism Right-wing populism,https://en.wikipedia.org/wiki/Swiss_People%27s_Party,Swiss People's Party
Social Democratic Party of Switzerland,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Switzerland,Social Democratic Party of Switzerland
The Liberals,Centre to centre-right,Liberalism ( Swiss ) Conservative liberalism Classical liberalism,https://en.wikipedia.org/wiki/FDP.The_Liberals,The Liberals
Christian Democratic People's Party of Switzerland,Centre to centre-right,Christian democracy Social conservatism Conservatism Social market economy,https://en.wikipedia.org/wiki/Christian_Democratic_People%27s_Party_of_Switzerland,Christian Democratic People's Party of Switzerland
Green Party of Switzerland,Centre-left to left-wing,Green politics,https://en.wikipedia.org/wiki/Green_Party_of_Switzerland,Green Party of Switzerland
Green Liberal Party of Switzerland,Centre,Green liberalism,https://en.wikipedia.org/wiki/Green_Liberal_Party_of_Switzerland,Green Liberal Party of Switzerland
Conservative Democratic Party of Switzerland,Centre to centre-right,Conservatism,https://en.wikipedia.org/wiki/Conservative_Democratic_Party_of_Switzerland,Conservative Democratic Party of Switzerland
Evangelical People's Party of Switzerland,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People%27s_Party_of_Switzerland,Evangelical People's Party of Switzerland
The Centre,Centre to centre-right,Christian democracy Conservatism,https://en.wikipedia.org/wiki/The_Centre_(political_party),The Centre
Federal Democratic Union of Switzerland,Right-wing,Christian right Right-wing populism National conservatism Social conservatism Euroscepticism,https://en.wikipedia.org/wiki/Federal_Democratic_Union_of_Switzerland,Federal Democratic Union of Switzerland
