date,party,polling_value,political_position,ideology,wikipedia_url
2019-10-20,Christian_Democratic_People's_Party_of_Switzerland,11.4,Centre to centre-right,Christian democracy Social conservatism Conservatism Social market economy,https://en.wikipedia.org/wiki/Christian_Democratic_People's_Party_of_Switzerland
2020-11-02,Christian_Democratic_People's_Party_of_Switzerland,11.9,Centre to centre-right,Christian democracy Social conservatism Conservatism Social market economy,https://en.wikipedia.org/wiki/Christian_Democratic_People's_Party_of_Switzerland
2019-10-20,Conservative_Democratic_Party_of_Switzerland,2.4,Centre to centre-right,Conservatism,https://en.wikipedia.org/wiki/Conservative_Democratic_Party_of_Switzerland
2020-11-02,Conservative_Democratic_Party_of_Switzerland,1.9,Centre to centre-right,Conservatism,https://en.wikipedia.org/wiki/Conservative_Democratic_Party_of_Switzerland
2019-10-20,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2020-11-02,Evangelical_People's_Party_of_Switzerland,2.6,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2021-10-03,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2022-10-07,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-03-05,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-06-22,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-08-25,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-09-26,Evangelical_People's_Party_of_Switzerland,2.2,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-10-05,Evangelical_People's_Party_of_Switzerland,2.1,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2023-10-22,Evangelical_People's_Party_of_Switzerland,2.0,Economic: Centre to centre-left Social: Centre-right,Christian democracy Social conservatism Stewardship theology,https://en.wikipedia.org/wiki/Evangelical_People's_Party_of_Switzerland
2019-10-20,FDP.The_Liberals,15.1,Centre to centre-right,Liberalism ( Swiss ) Conservative liberalism Classical liberalism,https://en.wikipedia.org/wiki/FDP.The_Liberals
2020-11-02,FDP.The_Liberals,15.1,Centre to centre-right,Liberalism ( Swiss ) Conservative liberalism Classical liberalism,https://en.wikipedia.org/wiki/FDP.The_Liberals
2021-10-03,FDP.The_Liberals,14.6,Centre to centre-right,Liberalism ( Swiss ) Conservative liberalism Classical liberalism,https://en.wikipedia.org/wiki/FDP.The_Liberals
2021-12-09,FDP.The_Liberals,15.4,Centre to centre-right,Liberalism ( Swiss ) Conservative liberalism Classical liberalism,https://en.wikipedia.org/wiki/FDP.The_Liberals
