party,party_display_name,display_name,political_position,ideology,wikipedia_url
Democratic Rally,Democratic Rally,,Centre-right to right-wing,Christian democracy Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Rally
Progressive Party of Working People,Progressive Party of Working People,,Left-wing to far-left,Communism Marxism–Leninism Cypriotism Federalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Progressive_Party_of_Working_People
Democratic Party,Democratic Party,,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
EDEK Socialist Party,EDEK Socialist Party,,Centre-left,Social democracy Greek Cypriot nationalism,https://en.wikipedia.org/wiki/Movement_for_Social_Democracy
Citizens' Alliance,Citizens' Alliance,,Centre to centre-left,Social democracy Euroscepticism Greek Cypriot nationalism,https://en.wikipedia.org/wiki/Citizens%27_Alliance_(Cyprus)
Solidarity Movement,Solidarity Movement,,Right-wing,Greek Cypriot nationalism National conservatism Soft Euroscepticism,https://en.wikipedia.org/wiki/Solidarity_Movement_(Cyprus)
Movement of Ecologists - Citizens' Cooperation,Movement of Ecologists - Citizens' Cooperation,,Centre-left,Green politics Anti-federalism,https://en.wikipedia.org/wiki/Ecological_and_Environmental_Movement
ELAM,ELAM,,Far-right,Greek ultranationalism Euroscepticism Neo-Metaxism Neo-fascism,https://en.wikipedia.org/wiki/ELAM_(Cyprus)
Democratic Alignment,Democratic Alignment,,Centre,Liberalism Federalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
Generation Change,Generation Change,,Centre-left,Liberalism Social liberalism,https://en.wikipedia.org/wiki/Generation_Change
Volt Cyprus,Volt Cyprus,,,Pro-Europeanism European federalism United Cyprus Progressivism,https://en.wikipedia.org/wiki/Volt_Cyprus
Active Citizens - Movement of Cypriot United Hunters,Active Citizens - Movement of Cypriot United Hunters,,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_%E2%80%93_Movement_of_Cypriot_United_Hunters
Animal Party Cyprus,Animal Party Cyprus,,Single-issue,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
,,,,,
Movement for Social Democracy,EDEK Socialist Party,,Centre-left,Social democracy Greek Cypriot nationalism,https://en.wikipedia.org/wiki/Movement_for_Social_Democracy
Ecological and Environmental Movement,Movement of Ecologists - Citizens' Cooperation,,Centre-left,Green politics Anti-federalism,https://en.wikipedia.org/wiki/Ecological_and_Environmental_Movement
Democratic Front,Democratic Alignment,,Centre,Liberalism Federalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
Active Citizens – Movement of Cypriot United Hunters,Active Citizens - Movement of Cypriot United Hunters,,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_%E2%80%93_Movement_of_Cypriot_United_Hunters
Direct Democracy Cyprus,Direct Democracy Cyprus,,,,
Odysseas Michaelides,Odysseas Michaelides,,,,
ALMA,ALMA - Citizens for Cyprus,,Centre,,https://en.wikipedia.org/wiki/ALMA_(Cyprus)
