date,party,polling_value,political_position,ideology,wikipedia_url
2023-09-22,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.4,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2024-01-11,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,0.7,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2024-06-09,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.3,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2024-11-01,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.4,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2025-03-11,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.3,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2025-05-30,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,3.3,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2025-06-28,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.2,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2025-08-11,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,2.7,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2025-09-22,Active_Citizens_–_Movement_of_Cypriot_United_Hunters,1.1,,Pro- hunting Environmentalism Agrarianism Social conservatism,https://en.wikipedia.org/wiki/Active_Citizens_–_Movement_of_Cypriot_United_Hunters
2024-02-16,Animal_Party_Cyprus,1.4,,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
2024-10-16,Animal_Party_Cyprus,1.2,,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
2024-11-01,Animal_Party_Cyprus,0.9,,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
2025-05-30,Animal_Party_Cyprus,1.0,,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
2025-08-11,Animal_Party_Cyprus,1.4,,Animal rights Animal welfare,https://en.wikipedia.org/wiki/Animal_Party_Cyprus
2023-09-22,Democratic_Front_(Cyprus),1.4,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-01-11,Democratic_Front_(Cyprus),3.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-02-09,Democratic_Front_(Cyprus),3.7,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-02-16,Democratic_Front_(Cyprus),4.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-06-09,Democratic_Front_(Cyprus),2.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-10-05,Democratic_Front_(Cyprus),3.4,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2024-10-16,Democratic_Front_(Cyprus),1.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-03-11,Democratic_Front_(Cyprus),1.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-03-21,Democratic_Front_(Cyprus),1.25,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-05-30,Democratic_Front_(Cyprus),6.1,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-06-28,Democratic_Front_(Cyprus),1.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-07-08,Democratic_Front_(Cyprus),1.4,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-08-11,Democratic_Front_(Cyprus),1.4,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2025-09-22,Democratic_Front_(Cyprus),1.1,Centre,Liberalism,https://en.wikipedia.org/wiki/Democratic_Front_(Cyprus)
2023-09-22,Democratic_Party_(Cyprus),10.1,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-01-11,Democratic_Party_(Cyprus),9.7,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-02-09,Democratic_Party_(Cyprus),13.6,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-02-16,Democratic_Party_(Cyprus),11.6,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-06-09,Democratic_Party_(Cyprus),9.7,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-10-05,Democratic_Party_(Cyprus),10.9,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-10-16,Democratic_Party_(Cyprus),3.7,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2024-11-01,Democratic_Party_(Cyprus),11.4,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-03-11,Democratic_Party_(Cyprus),8.9,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-03-21,Democratic_Party_(Cyprus),10.0,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-05-30,Democratic_Party_(Cyprus),11.3,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-06-28,Democratic_Party_(Cyprus),8.6,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-07-08,Democratic_Party_(Cyprus),8.2,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-08-11,Democratic_Party_(Cyprus),8.2,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
2025-09-22,Democratic_Party_(Cyprus),9.1,Centre,Greek Cypriot nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus)
