date,party,polling_value,political_position,ideology,wikipedia_url
2013-10-26,ANO 2011,18.7,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2013-11-13,ANO 2011,20.0,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2013-11-18,ANO 2011,24.5,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2013-12-09,ANO 2011,22.4,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2013-12-10,ANO 2011,19.2,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2013-12-11,ANO 2011,25.1,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-01-08,ANO 2011,24.6,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-01-18,ANO 2011,24.3,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-01-20,ANO 2011,25.0,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-04,ANO 2011,18.5,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-06,ANO 2011,24.7,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-10,ANO 2011,25.0,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-12,ANO 2011,21.4,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-24,ANO 2011,22.5,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-02-28,ANO 2011,19.7,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-03-10,ANO 2011,28.0,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-03-12,ANO 2011,23.8,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-03-20,ANO 2011,28.9,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
2014-03-30,ANO 2011,27.0,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/ANO_2011
