party,party_display_name,display_name,political_position,ideology,wikipedia_url
Venstre,Venstre,,Centre-right,Conservative liberalism Agrarianism ( Nordic ),https://en.wikipedia.org/wiki/Venstre_(Denmark)
Social Democrats,Social Democrats,,Centre-left,Social democracy Left-conservatism,https://en.wikipedia.org/wiki/Social_Democrats_(Denmark)
Danish People's Party,Danish People's Party,,Right-wing to far-right,Danish nationalism National conservatism Right-wing populism,https://en.wikipedia.org/wiki/Danish_People%27s_Party
Danish Social Liberal Party,Danish Social Liberal Party,,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Danish_Social_Liberal_Party
Green Left,Green Left,,Centre-left to left-wing,Democratic socialism Green politics Popular socialism [ page needed ],https://en.wikipedia.org/wiki/Green_Left_(Denmark)
Red-Green Alliance,Red-Green Alliance,,Left-wing to far-left,Socialism Eco-socialism Environmentalism Marxism Anti-capitalism,https://en.wikipedia.org/wiki/Red%E2%80%93Green_Alliance_(Denmark)
Liberal Alliance,Liberal Alliance,,Centre-right to right-wing,Classical liberalism Right-libertarianism,https://en.wikipedia.org/wiki/Liberal_Alliance_(Denmark)
Conservative People's Party,Conservative People's Party,,Centre-right,Conservatism Liberal conservatism Social conservatism Green conservatism,https://en.wikipedia.org/wiki/Conservative_People%27s_Party_(Denmark)
Christian Democrats,Christian Democrats,,Centre to centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/Christian_Democrats_(Denmark)
The Alternative,The Alternative,,Centre-left to left-wing,Green politics,https://en.wikipedia.org/wiki/The_Alternative_(Political_Party)
New Right,New Right,,Far-right,National conservatism Right-libertarianism Right-wing populism,https://en.wikipedia.org/wiki/New_Right_(Denmark)
The Citizen List,The Citizen List,,Centre to centre-right,Populism Paternalistic conservatism Social liberalism Tax reform,https://en.wikipedia.org/wiki/The_Citizen_List
Stram Kurs,Stram Kurs,,Far-right,Ethnic nationalism Identitarianism Anti-immigration Islamophobia Hard Euroscepticism,https://en.wikipedia.org/wiki/Hard_Line_(party)
Republic,Republic,,Left-wing,Democratic socialism Left-wing nationalism Faroese independence Republicanism Euroscepticism,https://en.wikipedia.org/wiki/Republic_(Faroe_Islands)
Social Democratic Party,Social Democratic Party,,Centre-left,Social democracy Danish unionism,https://en.wikipedia.org/wiki/Social_Democratic_Party_(Faroe_Islands)
Union Party,Union Party,,Centre-right,Conservative liberalism Agrarianism ( Nordic ) Social liberalism Danish unionism,https://en.wikipedia.org/wiki/Union_Party_(Faroe_Islands)
People's Party,People's Party,,Centre-right,Conservatism Social conservatism Economic liberalism Faroese independence,https://en.wikipedia.org/wiki/People%27s_Party_(Faroe_Islands)
Progress,Progress,,Centre-right,Liberalism Faroese independence,https://en.wikipedia.org/wiki/Progress_(Faroe_Islands)
Centre Party,Centre Party,,Right-wing,Christian democracy Social conservatism Christian right Anti-LGBT Regionalism,https://en.wikipedia.org/wiki/Centre_Party_(Faroe_Islands)
Sjálvstýri,Sjálvstýri,,Centre [ citation needed ],Liberalism Social liberalism Regionalism Autonomism,https://en.wikipedia.org/wiki/Self-Government_(Faroe_Islands)
Independent Greens,Independent Greens,,Left-wing,Green politics,https://en.wikipedia.org/wiki/Independent_Greens_(Denmark)
Denmark Democrats,Denmark Democrats,,Right-wing to far-right,Conservatism Right-wing populism,https://en.wikipedia.org/wiki/Denmark_Democrats
Vegan Party,Vegan Party,,,Veganism Green politics Ecocentrism Single-issue politics,https://en.wikipedia.org/wiki/Vegan_Party
Moderates,Moderates,,Centre to centre-right,Liberalism,https://en.wikipedia.org/wiki/Moderates_(Denmark)
,,,,,
Citizens' Party,Citizens' Party,,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens%27_Party_(Denmark)
Socialist People's Party,Green Left,,Centre-left to left-wing,Democratic socialism Green politics Popular socialism [ page needed ],https://en.wikipedia.org/wiki/Socialist_People%27s_Party_(Denmark)
Red–Green Alliance,Red-Green Alliance,,Left-wing to far-left,Socialism Eco-socialism Environmentalism Marxism Anti-capitalism,https://en.wikipedia.org/wiki/Red%E2%80%93Green_Alliance_(Denmark)
The New Right,New Right,,Far-right,National conservatism Right-libertarianism Right-wing populism,https://en.wikipedia.org/wiki/The_New_Right_(Denmark)
Klaus Riskær Pedersen,The Citizen List,,Centre to centre-right,Populism Paternalistic conservatism Social liberalism Tax reform,https://en.wikipedia.org/wiki/Klaus_Risk%C3%A6r_Pedersen_(party)
Hard Line,Stram Kurs,,Far-right,Ethnic nationalism Identitarianism Anti-immigration Islamophobia Hard Euroscepticism,https://en.wikipedia.org/wiki/Hard_Line_(party)
Self-Government,Sjálvstýri,,Centre [ citation needed ],Liberalism Social liberalism Regionalism Autonomism,https://en.wikipedia.org/wiki/Self-Government_(Faroe_Islands)
Inuit Ataqatigiit,Inuit Ataqatigiit,,Left-wing,Greenlandic independence Democratic socialism Environmentalism Left-wing nationalism,https://en.wikipedia.org/wiki/Inuit_Ataqatigiit
Siumut,Siumut,,Centre-left,Social democracy Greenlandic independence,https://en.wikipedia.org/wiki/Siumut
Democrats,Democrats,,Centre to centre-right,Soft Greenlandic independence Liberalism Social liberalism,https://en.wikipedia.org/wiki/Democrats_(Greenland)
Atassut,Atassut,,Centre-right,Liberal conservatism Conservative liberalism Danish unionism,https://en.wikipedia.org/wiki/Atassut
Partii Naleraq,Naleraq,,Centre to centre-right,Populism Greenlandic independence Greenlandic nationalism Atlanticism,https://en.wikipedia.org/wiki/Partii_Naleraq
Cooperation Party,Cooperation Party,,Centre-right,Danish unionism Liberalism Economic liberalism,https://en.wikipedia.org/wiki/Cooperation_Party
Nunatta Qitornai,Nunatta Qitornai,,Centre-left,Greenlandic independence Decentralization Social democracy Populism,https://en.wikipedia.org/wiki/Nunatta_Qitornai
Electoral threshold,Electoral threshold,,,,
