date,party,polling_value,political_position,ideology,wikipedia_url
2023-09-11,Christian_Democrats_(Denmark),1.2,Centre to centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/Christian_Democrats_(Denmark)
2025-01-19,Citizens'_Party_(Denmark),1.0,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-01-22,Citizens'_Party_(Denmark),1.8,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-01-26,Citizens'_Party_(Denmark),1.2,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-02-02,Citizens'_Party_(Denmark),2.2,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-02-04,Citizens'_Party_(Denmark),1.8,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-02-09,Citizens'_Party_(Denmark),1.6,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-02-16,Citizens'_Party_(Denmark),1.3,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-02-23,Citizens'_Party_(Denmark),2.2,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-02,Citizens'_Party_(Denmark),1.7,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-04,Citizens'_Party_(Denmark),1.6,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-09,Citizens'_Party_(Denmark),1.3,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-16,Citizens'_Party_(Denmark),2.1,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-23,Citizens'_Party_(Denmark),1.9,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-26,Citizens'_Party_(Denmark),1.2,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-03-30,Citizens'_Party_(Denmark),1.8,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-01,Citizens'_Party_(Denmark),1.8,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-06,Citizens'_Party_(Denmark),1.5,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-13,Citizens'_Party_(Denmark),1.9,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-20,Citizens'_Party_(Denmark),2.4,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-27,Citizens'_Party_(Denmark),1.7,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-04-29,Citizens'_Party_(Denmark),1.1,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-05-04,Citizens'_Party_(Denmark),1.1,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-05-11,Citizens'_Party_(Denmark),0.9,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-05-18,Citizens'_Party_(Denmark),1.7,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-05-25,Citizens'_Party_(Denmark),2.1,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-06-02,Citizens'_Party_(Denmark),1.8,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
2025-06-08,Citizens'_Party_(Denmark),1.7,Far-right,Populism Anti-establishment,https://en.wikipedia.org/wiki/Citizens'_Party_(Denmark)
