date,party,polling_value,political_position,ideology,wikipedia_url
2019-12-19,Agreement of Nationalist Unity,0.3,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-05,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-06,Agreement of Nationalist Unity,0.7,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-13,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-13,Agreement of Nationalist Unity,0.1,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-14,Agreement of Nationalist Unity,0.5,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-14,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-14,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-20,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-21,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-28,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-01-28,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-04,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-11,Agreement of Nationalist Unity,0.1,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-12,Agreement of Nationalist Unity,0.1,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-14,Agreement of Nationalist Unity,0.7,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-17,Agreement of Nationalist Unity,0.5,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-18,Agreement of Nationalist Unity,0.7,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-19,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-19,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-20,Agreement of Nationalist Unity,0.7,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-24,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-25,Agreement of Nationalist Unity,0.5,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-25,Agreement of Nationalist Unity,0.6,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-25,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
2020-02-25,Agreement of Nationalist Unity,0.4,Centre to centre-right,Regionalism Canarian nationalism Factions: Liberalism Federalism,https://en.wikipedia.org/wiki/Canarian_Coalition%E2%80%93New_Canaries
