party,party_display_name,display_name,political_position,ideology,wikipedia_url
Centre Party,Centre Party,,Centre,Agrarianism ( Nordic ) Liberalism,https://en.wikipedia.org/wiki/Centre_Party_(Finland)
National Coalition Party,National Coalition Party,,Centre-right to right-wing,Liberal conservatism Economic liberalism Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/National_Coalition_Party
Finns Party,Finns Party,,Right-wing to far-right,National conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Finns_Party
Social Democratic Party of Finland,Social Democratic Party of Finland,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Finland
Green League,Green League,,Centre-left,Green politics,https://en.wikipedia.org/wiki/Green_League
Left Alliance,Left Alliance,,Left-wing,Democratic socialism Eco-socialism,https://en.wikipedia.org/wiki/Left_Alliance_(Finland)
Swedish People's Party of Finland,Swedish People's Party of Finland,,Centre to centre-right,Swedish-speaking minority interests Liberalism,https://en.wikipedia.org/wiki/Swedish_People%27s_Party_of_Finland
Christian Democrats,Christian Democrats,,Centre-right,Christian democracy Conservatism Social conservatism,https://en.wikipedia.org/wiki/Christian_Democrats_(Finland)
Finnish Reform Movement,Finnish Reform Movement,,Right-wing,Economic liberalism National conservatism,https://en.wikipedia.org/wiki/Blue_Reform
,,,,,
Movement Now,Movement Now,,Centre-right,Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Movement_Now
Blue Reform,Finnish Reform Movement,,Right-wing,Economic liberalism National conservatism,https://en.wikipedia.org/wiki/Blue_Reform
Juha Sipilä,Juha Sipilä,,,,
Petteri Orpo,Petteri Orpo,,,,
Jussi Halla-aho,Jussi Halla-aho,,,,
Timo Soini,Timo Soini,,,,
Antti Rinne,Antti Rinne,,,,
Pekka Haavisto,Pekka Haavisto,,,,
Touko Aalto,Touko Aalto,,,,
Ville Niinistö,Ville Niinistö,,,,
Li Andersson,Li Andersson,,,,
Anna-Maja Henriksson,Anna-Maja Henriksson,,,,
Sari Essayah,Sari Essayah,,,,
Paavo Väyrynen,Paavo Väyrynen,,,,
Sampo Terho,Sampo Terho,,,,
