date,party,polling_value,political_position,ideology,wikipedia_url
2023-06-25,Communist_Party_of_Greece,7.7,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-09-26,Communist_Party_of_Greece,9.5,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-09-26,Communist_Party_of_Greece,9.5,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-09-27,Communist_Party_of_Greece,9.0,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-09-28,Communist_Party_of_Greece,8.9,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-09-28,Communist_Party_of_Greece,9.0,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-10-02,Communist_Party_of_Greece,10.6,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-10-24,Communist_Party_of_Greece,9.7,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-10-24,Communist_Party_of_Greece,10.2,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-10-30,Communist_Party_of_Greece,9.5,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-11-02,Communist_Party_of_Greece,9.6,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-11-03,Communist_Party_of_Greece,9.8,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
2023-11-15,Communist_Party_of_Greece,10.6,Far-left,Communism Marxism-Leninism Hard Euroscepticism Cultural conservatism,https://en.wikipedia.org/wiki/Communist_Party_of_Greece
