date,party,polling_value,political_position,ideology,wikipedia_url
2016-09-11,Bandić Milan 365 - Labour and Solidarity Party,4.0,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-09-26,Bandić Milan 365 - Labour and Solidarity Party,1.1,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-10-06,Bandić Milan 365 - Labour and Solidarity Party,1.7,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-10-25,Bandić Milan 365 - Labour and Solidarity Party,4.1,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-11-06,Bandić Milan 365 - Labour and Solidarity Party,2.1,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-11-25,Bandić Milan 365 - Labour and Solidarity Party,1.4,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-12-04,Bandić Milan 365 - Labour and Solidarity Party,2.0,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2016-12-24,Bandić Milan 365 - Labour and Solidarity Party,2.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-01-06,Bandić Milan 365 - Labour and Solidarity Party,1.8,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-01-25,Bandić Milan 365 - Labour and Solidarity Party,3.7,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-02-05,Bandić Milan 365 - Labour and Solidarity Party,1.6,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-02-24,Bandić Milan 365 - Labour and Solidarity Party,3.0,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-03-06,Bandić Milan 365 - Labour and Solidarity Party,1.6,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-03-24,Bandić Milan 365 - Labour and Solidarity Party,3.2,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-03-25,Bandić Milan 365 - Labour and Solidarity Party,1.8,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-04-05,Bandić Milan 365 - Labour and Solidarity Party,1.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-04-24,Bandić Milan 365 - Labour and Solidarity Party,3.0,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-04-25,Bandić Milan 365 - Labour and Solidarity Party,1.4,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-05-06,Bandić Milan 365 - Labour and Solidarity Party,1.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-05-24,Bandić Milan 365 - Labour and Solidarity Party,3.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-06-06,Bandić Milan 365 - Labour and Solidarity Party,1.7,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-06-25,Bandić Milan 365 - Labour and Solidarity Party,1.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-06-26,Bandić Milan 365 - Labour and Solidarity Party,3.6,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-07-05,Bandić Milan 365 - Labour and Solidarity Party,2.2,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-07-25,Bandić Milan 365 - Labour and Solidarity Party,4.7,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-08-06,Bandić Milan 365 - Labour and Solidarity Party,2.6,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-08-26,Bandić Milan 365 - Labour and Solidarity Party,4.5,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-09-06,Bandić Milan 365 - Labour and Solidarity Party,2.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
2017-09-26,Bandić Milan 365 - Labour and Solidarity Party,3.9,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Bandi%C4%87_Milan_365_-_Labour_and_Solidarity_Party
