party,party_display_name,display_name,political_position,ideology,wikipedia_url
Fine Gael,Fine Gael,,Centre-right,Liberal conservatism Christian democracy,https://en.wikipedia.org/wiki/Fine_Gael
Labour Party,Labour Party,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Labour_Party_(Ireland)
Fianna Fáil,Fianna Fáil,,Centre to centre-right,Conservatism Christian democracy Irish republicanism,https://en.wikipedia.org/wiki/Fianna_F%C3%A1il
Sinn Féin,Sinn Féin,,Centre-left to left-wing,Irish republicanism Democratic socialism Left-wing nationalism,https://en.wikipedia.org/wiki/Sinn_F%C3%A9in
People Before Profit-Solidarity,People Before Profit-Solidarity,,Left-wing to far-left,Socialism Trotskyism Left-wing populism,https://en.wikipedia.org/wiki/People_Before_Profit%E2%80%93Solidarity
Green Party,Green Party,,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Green_Party_(Ireland)
Renua,Renua,,Right-wing to far-right,Anti-abortion Social conservatism Economic liberalism Soft Euroscepticism Anti-immigration,https://en.wikipedia.org/wiki/Renua
Social Democrats,Social Democrats,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democrats_(Ireland)
Independent Alliance,Independent Alliance,,Big tent,Nonpartisan politics,https://en.wikipedia.org/wiki/Independent_Alliance_(Ireland)
,,,,,
Aontú,Aontú,,Fiscal: Left-wing Social: Right-wing,Irish republicanism Social conservatism Populism Euroscepticism,https://en.wikipedia.org/wiki/Aont%C3%BA
Independent Ireland,Independent Ireland,,Right-wing,Right-wing populism,https://en.wikipedia.org/wiki/Independent_Ireland
Anti-Austerity Alliance–People Before Profit,People Before Profit-Solidarity,,Left-wing to far-left,Socialism Trotskyism Left-wing populism,https://en.wikipedia.org/wiki/Anti-Austerity_Alliance%E2%80%93People_Before_Profit
Solidarity–People Before Profit,People Before Profit-Solidarity,,Left-wing to far-left,Socialism Trotskyism Left-wing populism,https://en.wikipedia.org/wiki/Solidarity%E2%80%93People_Before_Profit
#cite note-i4cpoll01-1,#cite note-i4cpoll01-1,,,,
Leo Varadkar,Leo Varadkar,,,,
Micheál Martin,Micheál Martin,,,,
People Before Profit–Solidarity,People Before Profit-Solidarity,,Left-wing to far-left,Socialism Trotskyism Left-wing populism,https://en.wikipedia.org/wiki/People_Before_Profit%E2%80%93Solidarity
#cite note-remainder-3,#cite note-remainder-3,,,,
#cite note-remainder-9,#cite note-remainder-9,,,,
