party,party_display_name,display_name,political_position,ideology,wikipedia_url
Left-Green Movement,Left-Green Movement,,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
Social Democratic Alliance,Social Democratic Alliance,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
Pirate Party,Pirate Party,,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
Bright Future,Bright Future,,Centre,Liberalism Social liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Bright_Future_(Iceland)
Progressive Party,Progressive Party,,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
Independence Party,Independence Party,,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
Viðreisn,Viðreisn,,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
People's Party,People's Party,,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
Centre Party,Centre Party,,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism National conservatism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
Socialist Party of Iceland,Socialist Party of Iceland,,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Socialist_Party_of_Iceland
Responsible Future,Responsible Future,,Right-wing,Right-libertarianism Anti-vaccination,https://en.wikipedia.org/wiki/Responsible_Future_(Iceland)
Democratic Party,Democratic Party,,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
Icelandic Socialist Party,Socialist Party of Iceland,,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
