date,party,polling_value,political_position,ideology,wikipedia_url
2024-10-03,B,5.0,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-18,B,8.0,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-18,B,6.2,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-24,B,5.8,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-28,B,6.9,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-31,B,5.8,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-31,B,6.5,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-06,B,7.5,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-07,B,5.8,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-13,B,7.3,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-14,B,6.0,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-14,B,5.6,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-20,B,5.9,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-21,B,4.4,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-21,B,6.2,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-28,B,7.8,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-28,B,6.4,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-11-29,B,6.8,Centre to centre-right,Agrarianism ( Nordic ) Liberal conservatism,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2024-10-03,C,11.0,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-18,C,13.4,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-18,C,14.1,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-24,C,15.0,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-28,C,16.2,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-31,C,18.5,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-31,C,13.5,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-06,C,19.4,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-07,C,17.1,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-13,C,19.9,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-14,C,15.5,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-14,C,21.5,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-20,C,20.9,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-21,C,22.0,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-21,C,18.1,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-28,C,19.2,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-28,C,17.6,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-11-29,C,17.6,Centre to centre-right,Liberalism Economic liberalism Green liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Vi%C3%B0reisn
2024-10-03,D,12.0,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-18,D,14.1,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-18,D,15.6,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-24,D,13.3,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-28,D,13.9,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-31,D,14.1,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-31,D,17.3,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-06,D,13.3,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-07,D,12.3,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-13,D,13.4,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-14,D,16.4,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-14,D,12.0,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-20,D,14.6,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-21,D,11.5,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-21,D,16.0,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-28,D,14.5,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-28,D,14.7,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-11-29,D,18.4,Centre-right,Conservatism ( Icelandic ) Economic liberalism,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
2024-10-03,F,11.0,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-18,F,7.3,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-18,F,10.8,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-24,F,11.4,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-28,F,9.3,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-31,F,11.2,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-31,F,7.8,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-06,F,8.9,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-07,F,11.5,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-13,F,9.2,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-14,F,10.2,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-14,F,10.2,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-20,F,8.8,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-21,F,12.5,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-21,F,13.1,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-28,F,10.8,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-28,F,11.2,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-11-29,F,12.6,Centre-left,Populism Left-wing populism Socialism,https://en.wikipedia.org/wiki/People%27s_Party_(Iceland)
2024-10-03,J,4.0,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-18,J,5.2,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-18,J,4.2,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-24,J,4.3,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-28,J,4.0,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-31,J,4.0,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-31,J,4.5,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-06,J,4.5,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-07,J,6.7,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-13,J,6.3,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-14,J,6.2,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-14,J,5.4,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-20,J,5.0,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-21,J,6.4,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-21,J,5.1,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-28,J,5.0,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-28,J,5.8,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-11-29,J,4.8,Left-wing,Socialism Democratic socialism Anti-neoliberalism,https://en.wikipedia.org/wiki/Icelandic_Socialist_Party
2024-10-18,L,2.1,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-10-24,L,1.1,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-10-28,L,1.6,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-10-31,L,1.5,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-10-31,L,0.6,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-06,L,1.7,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-07,L,1.4,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-13,L,2.1,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-14,L,1.0,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-14,L,1.0,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-20,L,1.6,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-21,L,1.0,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-28,L,1.1,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-28,L,1.2,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-11-29,L,1.4,Right-wing,Libertarian conservatism Right-libertarianism Euroscepticism,https://en.wikipedia.org/wiki/Democratic_Party_(Iceland)
2024-10-03,M,18.0,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-18,M,17.7,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-18,M,15.1,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-24,M,16.1,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-28,M,15.9,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-31,M,14.4,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-31,M,16.5,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-06,M,14.9,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-07,M,15.1,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-13,M,12.6,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-14,M,14.3,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-14,M,15.5,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-20,M,12.6,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-21,M,13.5,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-21,M,12.2,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-28,M,11.6,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-28,M,12.0,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-11-29,M,11.2,Right-wing,Conservatism Agrarianism ( Nordic ) Right-wing populism,https://en.wikipedia.org/wiki/Centre_Party_(Iceland)
2024-10-03,P,9.0,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-18,P,5.2,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-18,P,6.1,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-24,P,5.8,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-28,P,4.5,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-31,P,4.9,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-31,P,5.4,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-06,P,4.8,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-07,P,5.7,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-13,P,5.1,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-14,P,5.5,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-14,P,3.4,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-20,P,4.3,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-21,P,6.7,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-21,P,4.1,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-28,P,5.4,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-28,P,5.5,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-11-29,P,4.1,,Pirate politics Direct democracy Open government,https://en.wikipedia.org/wiki/Pirate_Party_(Iceland)
2024-10-03,S,26.0,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-18,S,21.9,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-18,S,24.8,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-24,S,24.2,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-28,S,22.2,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-31,S,22.3,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-31,S,23.8,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-06,S,20.9,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-07,S,21.6,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-13,S,20.1,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-14,S,20.8,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-14,S,22.4,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-20,S,22.7,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-21,S,18.3,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-21,S,20.2,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-28,S,20.4,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-28,S,21.8,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-11-29,S,20.0,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
2024-10-03,V,3.0,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-18,V,5.1,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-18,V,2.2,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-24,V,2.4,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-28,V,3.8,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-31,V,2.6,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-10-31,V,4.1,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-11-06,V,3.2,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-11-07,V,2.6,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-11-13,V,3.4,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
2024-11-14,V,4.1,Centre-left to left-wing,Eco-socialism Democratic socialism Feminism Pacifism,https://en.wikipedia.org/wiki/Left-Green_Movement
