date,party,polling_value,political_position,ideology,wikipedia_url
2023-01-04,Action_(Italian_political_party),8.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-05,Action_(Italian_political_party),8.7,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-09,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-10,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-11,Action_(Italian_political_party),8.3,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-12,Action_(Italian_political_party),8.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-12,Action_(Italian_political_party),8.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-12,Action_(Italian_political_party),8.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-13,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-16,Action_(Italian_political_party),7.8,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-18,Action_(Italian_political_party),9.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-18,Action_(Italian_political_party),8.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-19,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-19,Action_(Italian_political_party),8.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-20,Action_(Italian_political_party),7.8,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-23,Action_(Italian_political_party),8.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-23,Action_(Italian_political_party),7.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-24,Action_(Italian_political_party),8.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-25,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-25,Action_(Italian_political_party),8.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-25,Action_(Italian_political_party),7.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-26,Action_(Italian_political_party),9.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-26,Action_(Italian_political_party),7.8,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-26,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-26,Action_(Italian_political_party),8.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-30,Action_(Italian_political_party),8.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-01-30,Action_(Italian_political_party),7.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-01,Action_(Italian_political_party),7.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-02,Action_(Italian_political_party),7.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-02,Action_(Italian_political_party),8.3,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-02,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-03,Action_(Italian_political_party),9.3,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-06,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-09,Action_(Italian_political_party),9.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-13,Action_(Italian_political_party),7.8,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-13,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-13,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-14,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-15,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-16,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-16,Action_(Italian_political_party),7.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-18,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-20,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-20,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-21,Action_(Italian_political_party),6.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-21,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-22,Action_(Italian_political_party),7.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-22,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-23,Action_(Italian_political_party),8.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-23,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-23,Action_(Italian_political_party),7.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-23,Action_(Italian_political_party),6.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-24,Action_(Italian_political_party),7.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-27,Action_(Italian_political_party),7.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-28,Action_(Italian_political_party),8.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-02-28,Action_(Italian_political_party),8.3,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-01,Action_(Italian_political_party),7.9,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-02,Action_(Italian_political_party),8.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-02,Action_(Italian_political_party),7.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-02,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-02,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-02,Action_(Italian_political_party),6.8,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-06,Action_(Italian_political_party),8.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-08,Action_(Italian_political_party),8.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-09,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-09,Action_(Italian_political_party),7.7,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-09,Action_(Italian_political_party),7.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-10,Action_(Italian_political_party),8.7,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-10,Action_(Italian_political_party),7.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-11,Action_(Italian_political_party),8.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-13,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-13,Action_(Italian_political_party),8.4,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-14,Action_(Italian_political_party),7.5,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-15,Action_(Italian_political_party),8.1,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-16,Action_(Italian_political_party),7.7,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-16,Action_(Italian_political_party),6.2,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-16,Action_(Italian_political_party),7.6,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
2023-03-16,Action_(Italian_political_party),7.0,Centre,Liberalism ( Italian ),https://en.wikipedia.org/wiki/Action_(Italian_political_party)
