date,party,polling_value,political_position,ideology,wikipedia_url
2024-11-12,CDS,1.9,Centre-right to right-wing,Conservative liberalism National liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Center-Right_Union
2024-12-01,CDS,2.9,Centre-right to right-wing,Conservative liberalism National liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Center-Right_Union
2025-02-08,CDS,2.0,Centre-right to right-wing,Conservative liberalism National liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Center-Right_Union
2025-03-08,CDS,2.7,Centre-right to right-wing,Conservative liberalism National liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Center-Right_Union
2024-11-12,DP,3.4,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2024-12-01,DP,3.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2025-02-08,DP,4.4,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2025-03-08,DP,4.8,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2025-04-05,DP,4.5,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2025-10-28,DP,4.3,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Labour_Party_(Lithuania)
2024-11-12,DSVL,14.1,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2024-12-01,DSVL,14.8,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2024-12-20,DSVL,11.1,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-01-29,DSVL,12.3,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-02-08,DSVL,17.9,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-02-23,DSVL,16.2,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-02-28,DSVL,10.6,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-03-08,DSVL,15.0,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-03-18,DSVL,11.3,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-04-05,DSVL,16.6,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-04-17,DSVL,16.1,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-04-18,DSVL,13.3,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-05-12,DSVL,20.0,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-06-22,DSVL,17.1,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-06-29,DSVL,10.8,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-07-25,DSVL,14.1,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-09-13,DSVL,13.7,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-09-27,DSVL,10.6,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-10-27,DSVL,13.5,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2025-10-28,DSVL,14.4,Centre-left,Green politics Green conservatism Social democracy,https://en.wikipedia.org/wiki/Union_of_Democrats_%22For_Lithuania%22
2024-11-12,LLRA− KŠS,2.7,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2024-12-01,LLRA− KŠS,3.5,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-02-08,LLRA− KŠS,2.0,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-03-08,LLRA− KŠS,3.0,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-04-05,LLRA− KŠS,4.4,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-04-18,LLRA− KŠS,2.9,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-06-29,LLRA− KŠS,4.7,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-07-25,LLRA− KŠS,3.8,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-09-27,LLRA− KŠS,2.9,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2025-10-28,LLRA− KŠS,4.2,Centre-right,Polish minority interests Christian democracy Conservatism,https://en.wikipedia.org/wiki/Electoral_Action_of_Poles_in_Lithuania_%E2%80%93_Christian_Families_Alliance
2024-11-12,LP,3.0,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2024-12-01,LP,2.1,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2024-12-20,LP,3.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-01-29,LP,4.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-02-08,LP,2.1,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-02-28,LP,5.9,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-03-08,LP,2.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-03-18,LP,5.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-04-05,LP,2.6,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-04-18,LP,3.9,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-06-29,LP,5.6,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-07-25,LP,6.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-09-27,LP,5.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2025-10-28,LP,3.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Freedom_Party_(Lithuania)
2024-11-12,LRP,2.4,Left-wing,Social democracy Regionalism Social conservatism,https://en.wikipedia.org/wiki/Lithuanian_Regions_Party
2024-12-01,LRP,3.4,Left-wing,Social democracy Regionalism Social conservatism,https://en.wikipedia.org/wiki/Lithuanian_Regions_Party
2025-02-08,LRP,2.1,Left-wing,Social democracy Regionalism Social conservatism,https://en.wikipedia.org/wiki/Lithuanian_Regions_Party
