date,party,polling_value,political_position,ideology,wikipedia_url
2023-10-08,Alternative_Democratic_Reform_Party,9.27,Right-wing to far-right,National conservatism Social conservatism Economic liberalism Soft Euroscepticism Luxembourgish language interests Historical: Pensioners' interests,https://en.wikipedia.org/wiki/Alternative_Democratic_Reform_Party
2024-06-09,Alternative_Democratic_Reform_Party,11.76,Right-wing to far-right,National conservatism Social conservatism Economic liberalism Soft Euroscepticism Luxembourgish language interests Historical: Pensioners' interests,https://en.wikipedia.org/wiki/Alternative_Democratic_Reform_Party
2024-09-30,Alternative_Democratic_Reform_Party,10.7,Right-wing to far-right,National conservatism Social conservatism Economic liberalism Soft Euroscepticism Luxembourgish language interests Historical: Pensioners' interests,https://en.wikipedia.org/wiki/Alternative_Democratic_Reform_Party
2025-04-24,Alternative_Democratic_Reform_Party,9.3,Right-wing to far-right,National conservatism Social conservatism Economic liberalism Soft Euroscepticism Luxembourgish language interests Historical: Pensioners' interests,https://en.wikipedia.org/wiki/Alternative_Democratic_Reform_Party
2025-09-29,Alternative_Democratic_Reform_Party,11.6,Right-wing to far-right,National conservatism Social conservatism Economic liberalism Soft Euroscepticism Luxembourgish language interests Historical: Pensioners' interests,https://en.wikipedia.org/wiki/Alternative_Democratic_Reform_Party
2023-10-08,Christian_Social_People's_Party,29.22,Centre-right,Christian democracy Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Social_People's_Party
2024-06-09,Christian_Social_People's_Party,22.91,Centre-right,Christian democracy Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Social_People's_Party
2024-09-30,Christian_Social_People's_Party,28.9,Centre-right,Christian democracy Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Social_People's_Party
2025-04-24,Christian_Social_People's_Party,29.1,Centre-right,Christian democracy Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Social_People's_Party
2025-09-29,Christian_Social_People's_Party,25.3,Centre-right,Christian democracy Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Social_People's_Party
2023-10-08,Communist_Party_of_Luxembourg,0.64,Far-left,Communism Marxism–Leninism Hard Euroscepticism,https://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg
2024-06-09,Communist_Party_of_Luxembourg,0.97,Far-left,Communism Marxism–Leninism Hard Euroscepticism,https://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg
2024-09-30,Communist_Party_of_Luxembourg,0.5,Far-left,Communism Marxism–Leninism Hard Euroscepticism,https://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg
2025-04-24,Communist_Party_of_Luxembourg,0.3,Far-left,Communism Marxism–Leninism Hard Euroscepticism,https://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg
2025-09-29,Communist_Party_of_Luxembourg,0.4,Far-left,Communism Marxism–Leninism Hard Euroscepticism,https://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg
2023-10-08,Democratic_Party_(Luxembourg),18.7,Centre to centre-right,Liberalism Economic liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg)
2024-06-09,Democratic_Party_(Luxembourg),18.29,Centre to centre-right,Liberalism Economic liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg)
2024-09-30,Democratic_Party_(Luxembourg),18.9,Centre to centre-right,Liberalism Economic liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg)
2025-04-24,Democratic_Party_(Luxembourg),21.0,Centre to centre-right,Liberalism Economic liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg)
2025-09-29,Democratic_Party_(Luxembourg),19.7,Centre to centre-right,Liberalism Economic liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg)
2023-10-08,Fokus_(Luxembourg),2.49,Centre,Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Fokus_(Luxembourg)
2024-06-09,Fokus_(Luxembourg),1.6,Centre,Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Fokus_(Luxembourg)
2024-09-30,Fokus_(Luxembourg),1.7,Centre,Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Fokus_(Luxembourg)
2025-04-24,Fokus_(Luxembourg),1.9,Centre,Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Fokus_(Luxembourg)
2025-09-29,Fokus_(Luxembourg),1.9,Centre,Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Fokus_(Luxembourg)
2023-10-08,Luxembourg_Socialist_Workers'_Party,18.92,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers'_Party
2024-06-09,Luxembourg_Socialist_Workers'_Party,21.72,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers'_Party
2024-09-30,Luxembourg_Socialist_Workers'_Party,20.0,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers'_Party
2025-04-24,Luxembourg_Socialist_Workers'_Party,17.9,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers'_Party
2025-09-29,Luxembourg_Socialist_Workers'_Party,18.7,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers'_Party
2023-10-08,Pirate_Party_Luxembourg,6.74,Syncretic,Pirate politics Direct democracy Copyright reform Government transparency,https://en.wikipedia.org/wiki/Pirate_Party_Luxembourg
2024-06-09,Pirate_Party_Luxembourg,4.92,Syncretic,Pirate politics Direct democracy Copyright reform Government transparency,https://en.wikipedia.org/wiki/Pirate_Party_Luxembourg
2024-09-30,Pirate_Party_Luxembourg,3.2,Syncretic,Pirate politics Direct democracy Copyright reform Government transparency,https://en.wikipedia.org/wiki/Pirate_Party_Luxembourg
2025-04-24,Pirate_Party_Luxembourg,3.5,Syncretic,Pirate politics Direct democracy Copyright reform Government transparency,https://en.wikipedia.org/wiki/Pirate_Party_Luxembourg
2025-09-29,Pirate_Party_Luxembourg,4.4,Syncretic,Pirate politics Direct democracy Copyright reform Government transparency,https://en.wikipedia.org/wiki/Pirate_Party_Luxembourg
2023-10-08,The_Conservatives_(Luxembourg),0.27,Right-wing to far-right [ citation needed ],Conservatism National conservatism Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/The_Conservatives_(Luxembourg)
2024-06-09,The_Conservatives_(Luxembourg),0.58,Right-wing to far-right [ citation needed ],Conservatism National conservatism Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/The_Conservatives_(Luxembourg)
2024-09-30,The_Conservatives_(Luxembourg),0.2,Right-wing to far-right [ citation needed ],Conservatism National conservatism Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/The_Conservatives_(Luxembourg)
2025-04-24,The_Conservatives_(Luxembourg),0.3,Right-wing to far-right [ citation needed ],Conservatism National conservatism Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/The_Conservatives_(Luxembourg)
2025-09-29,The_Conservatives_(Luxembourg),0.5,Right-wing to far-right [ citation needed ],Conservatism National conservatism Economic liberalism Soft Euroscepticism,https://en.wikipedia.org/wiki/The_Conservatives_(Luxembourg)
2023-10-08,The_Greens_(Luxembourg),8.55,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Greens_(Luxembourg)
2024-06-09,The_Greens_(Luxembourg),11.76,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Greens_(Luxembourg)
2024-09-30,The_Greens_(Luxembourg),10.1,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Greens_(Luxembourg)
2025-04-24,The_Greens_(Luxembourg),10.5,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Greens_(Luxembourg)
2025-09-29,The_Greens_(Luxembourg),9.3,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Greens_(Luxembourg)
2023-10-08,The_Left_(Luxembourg),3.93,Left-wing to radical left,Democratic socialism Anti-capitalism,https://en.wikipedia.org/wiki/The_Left_(Luxembourg)
2024-06-09,The_Left_(Luxembourg),3.15,Left-wing to radical left,Democratic socialism Anti-capitalism,https://en.wikipedia.org/wiki/The_Left_(Luxembourg)
2024-09-30,The_Left_(Luxembourg),3.7,Left-wing to radical left,Democratic socialism Anti-capitalism,https://en.wikipedia.org/wiki/The_Left_(Luxembourg)
2025-04-24,The_Left_(Luxembourg),4.8,Left-wing to radical left,Democratic socialism Anti-capitalism,https://en.wikipedia.org/wiki/The_Left_(Luxembourg)
2025-09-29,The_Left_(Luxembourg),5.9,Left-wing to radical left,Democratic socialism Anti-capitalism,https://en.wikipedia.org/wiki/The_Left_(Luxembourg)
2023-10-08,Volt_Luxembourg,0.19,,Pro-Europeanism European federalism,https://en.wikipedia.org/wiki/Volt_Luxembourg
2024-06-09,Volt_Luxembourg,1.04,,Pro-Europeanism European federalism,https://en.wikipedia.org/wiki/Volt_Luxembourg
2024-09-30,Volt_Luxembourg,0.3,,Pro-Europeanism European federalism,https://en.wikipedia.org/wiki/Volt_Luxembourg
2025-04-24,Volt_Luxembourg,0.2,,Pro-Europeanism European federalism,https://en.wikipedia.org/wiki/Volt_Luxembourg
2025-09-29,Volt_Luxembourg,0.2,,Pro-Europeanism European federalism,https://en.wikipedia.org/wiki/Volt_Luxembourg
