party,party_display_name,display_name,political_position,ideology,wikipedia_url
"Social Democratic Party ""Harmony""","Social Democratic Party ""Harmony""",,Centre-left,Social democracy Russian minority politics,https://en.wikipedia.org/wiki/Social_Democratic_Party_%22Harmony%22
New Unity,New Unity,,Centre-right,Liberalism ( Latvian ) Liberal conservatism Civic nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/New_Unity
Union of Greens and Farmers,Union of Greens and Farmers,,Centre,Agrarianism Green conservatism Economic nationalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Union_of_Greens_and_Farmers
National Alliance,National Alliance,,Right-wing,National conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/National_Alliance_(Latvia)
Latvian Association of Regions,Latvian Association of Regions,,Centre,Regionalism,https://en.wikipedia.org/wiki/Latvian_Association_of_Regions
Awakening,Awakening,,Right-wing,Conservatism Social conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/For_Latvia_from_the_Heart
Latvian Russian Union,Latvian Russian Union,,,Russian minority politics Russophilia,https://en.wikipedia.org/wiki/Latvian_Russian_Union
For Latvia's Development,For Latvia's Development,,Centre-right,Classical liberalism,https://en.wikipedia.org/wiki/For_Latvia%27s_Development
United for Latvia,United for Latvia,,Centre to centre-right,Economic liberalism Populism,https://en.wikipedia.org/wiki/United_for_Latvia
New Conservative Party,New Conservative Party,,Centre-right,Liberal conservatism,https://en.wikipedia.org/wiki/The_Conservatives_(Latvia)
,,,,,
For a Humane Latvia,For a Humane Latvia,,Centre-right to right-wing,Right-wing populism Conservatism,https://en.wikipedia.org/wiki/For_a_Humane_Latvia
Movement For!,Movement For!,,Centre,Liberalism Social liberalism,https://en.wikipedia.org/wiki/Movement_For!
The Progressives,The Progressives,,Centre-left to left-wing,Social democracy Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/The_Progressives_(Latvia)
Development/For!,Development/For!,,Centre to centre-right,Liberalism,https://en.wikipedia.org/wiki/Development/For!
United List,United List,,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
Platform 21,Platform 21,,Centre,Moderate nationalism,https://en.wikipedia.org/wiki/Platform_21
Latvia First,Latvia First,,Right-wing,National conservatism Right-wing populism,https://en.wikipedia.org/wiki/Latvia_First
Republic,Republic,,Centre,,https://en.wikipedia.org/wiki/Republic_(Latvia)
For Stability!,For Stability!,,Centre,Populism Russian minority politics Euroscepticism,https://en.wikipedia.org/wiki/For_Stability!
Sovereign Power,Sovereign Power,,Right-wing,Christian right Direct democracy Russian minority politics,https://en.wikipedia.org/wiki/Sovereign_Power_(Latvia)
People's Servants for Latvia,People's Servants for Latvia,,,Populism Anti-lockdown,https://en.wikipedia.org/wiki/People%27s_Servants_for_Latvia
Force of People's Power,Force of People's Power,,,Conservative populism (originally) Currently: Russian minority politics Populism,https://en.wikipedia.org/wiki/Force_of_People%27s_Power
National Power Unity,National Power Unity,,Far-right,Ultranationalism Anti-Zionism Antisemitism Ethnic nationalism Anti-capitalism,https://en.wikipedia.org/wiki/National_Power_Unity
For Latvia from the Heart,Awakening,,Right-wing,Conservatism Social conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/For_Latvia_from_the_Heart
Latvian Development,For Latvia's Development,,Centre-right,Classical liberalism,https://en.wikipedia.org/wiki/Latvian_Development
/w/index.php?title=Proud to Serve Latvia&action=edit&redlink=1,/w/index.php?title=Proud to Serve Latvia&action=edit&redlink=1,,,,
Who owns the state?,For a Humane Latvia,,Centre-right to right-wing,Right-wing populism Conservatism,https://en.wikipedia.org/wiki/Who_owns_the_state%3F
The Conservatives,New Conservative Party,,Centre-right,Liberal conservatism,https://en.wikipedia.org/wiki/The_Conservatives_(Latvia)
For Each and Every One,Platform 21,,Centre,Moderate nationalism,https://en.wikipedia.org/wiki/For_Each_and_Every_One
/w/index.php?title=Progressive Christian Party&action=edit&redlink=1,/w/index.php?title=Progressive Christian Party&action=edit&redlink=1,,,,
Law and Order,Platform 21,,Centre,Moderate nationalism,https://en.wikipedia.org/wiki/Law_and_Order_(Latvia)
/w/index.php?title=Pamats-LV&action=edit&redlink=1,/w/index.php?title=Pamats-LV&action=edit&redlink=1,,,,
Rising Sun for Latvia,Rising Sun for Latvia,,Far-right,"Ethnic nationalism , national conservatism",https://en.wikipedia.org/wiki/Rising_Sun_for_Latvia
We Change the Rules,We Change the Rules,,Centre,,https://en.wikipedia.org/wiki/We_Change_the_Rules
