date,party,polling_value,political_position,ideology,wikipedia_url
2022-10-18,AP!,4.6,Centre to centre-right,Liberalism,https://en.wikipedia.org/wiki/Development/For!
2022-11-18,AP!,5.1,Centre to centre-right,Liberalism,https://en.wikipedia.org/wiki/Development/For!
2022-12-18,AP!,5.3,Centre to centre-right,Liberalism,https://en.wikipedia.org/wiki/Development/For!
2022-10-18,AS,9.7,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2022-11-18,AS,11.0,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2022-12-18,AS,8.9,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-01-18,AS,10.3,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-03-18,AS,9.7,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-04-18,AS,11.7,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-05-18,AS,9.1,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-06-18,AS,8.9,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-07-18,AS,7.5,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-08-18,AS,9.3,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-09-18,AS,8.7,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-10-18,AS,8.2,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-11-18,AS,7.6,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2023-12-18,AS,8.9,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
2024-01-18,AS,8.4,Centre to centre-right,Regionalism Green conservatism,https://en.wikipedia.org/wiki/United_List_(Latvia)
