party,political_position,ideology,wikipedia_url,party_display_name
Party of Socialists of the Republic of Moldova,Left-wing,Democratic socialism Socialism Social conservatism Moldovenism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Party_of_Socialists_of_the_Republic_of_Moldova,Party of Socialists of the Republic of Moldova
Liberal Democratic Party of Moldova,Centre-right,Conservatism Liberal conservatism Pro-Europeanism Moldovan–Romanian unionism,https://en.wikipedia.org/wiki/Liberal_Democratic_Party_of_Moldova,Liberal Democratic Party of Moldova
Party of Communists of the Republic of Moldova,,Communism Marxism–Leninism Social conservatism Moldovenism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Party_of_Communists_of_the_Republic_of_Moldova,Party of Communists of the Republic of Moldova
European Social Democratic Party,Centre-left,Social democracy Left-wing populism Pro-Europeanism,https://en.wikipedia.org/wiki/European_Social_Democratic_Party,European Social Democratic Party
Liberal Party,Centre-right,Liberalism Conservative liberalism Moldovan–Romanian unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Liberal_Party_(Moldova),Liberal Party
Our Party,Left-wing,Left-wing populism Social conservatism Moldovenism Soft Euroscepticism Soft Russophilia,https://en.wikipedia.org/wiki/Our_Party_(Moldova),Our Party
European People's Party of Moldova,Centre-right,Liberal conservatism Pro-Europeanism Moldovan-Romanian unionism,https://en.wikipedia.org/wiki/European_People%27s_Party_of_Moldova,European People's Party of Moldova
Dignity and Truth Platform,Centre-right,Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Dignity_and_Truth_Platform,Dignity and Truth Platform
Șor Party,Left-wing,National conservatism Russophilia Populism Social conservatism Social democracy Hard Euroscepticism,https://en.wikipedia.org/wiki/%C8%98or_Party,Șor Party
Party of Action and Solidarity,Centre to centre-right,Liberalism Conservative liberalism,https://en.wikipedia.org/wiki/Party_of_Action_and_Solidarity,Party of Action and Solidarity
National Unity Party,Centre-right,Christian democracy Moldovan-Romanian unionism Pro-Europeanism,https://en.wikipedia.org/wiki/National_Unity_Party_(Moldova),National Unity Party
NOW Platform DA and PAS,Centre-right,Liberalism Anti-corruption Atlanticism Pro-Europeanism,https://en.wikipedia.org/wiki/NOW_Platform_DA_and_PAS,NOW Platform DA and PAS
Bloc of Communists and Socialists,Left-wing,Constituent parties: Communism (PCRM) Socialism (PSRM) Shared: Social conservatism Russophilia,https://en.wikipedia.org/wiki/Electoral_Bloc_of_Communists_and_Socialists,Bloc of Communists and Socialists
List of political parties in Moldova,,,,
Patriotic Electoral Bloc,Left-wing,Russophilia Social conservatism Euroscepticism,https://en.wikipedia.org/wiki/Patriotic_Electoral_Bloc,Patriotic Electoral Bloc
/w/index.php?title=Party of Change &action=edit&redlink=1,,,,
Democracy at Home Party,Right-wing,Right-wing populism Moldovan–Romanian unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Democracy_at_Home_Party,Democracy at Home Party
Common Action Party - Civil Congress,Left-wing,Democratic socialism Progressivism Euroscepticism Pro-Europeanism (claimed),https://en.wikipedia.org/wiki/Common_Action_Party_%E2%80%93_Civil_Congress,Common Action Party - Civil Congress
Party of Development and Consolidation of Moldova,Centre to centre-right,Christian democracy Pro-Europeanism (claimed),https://en.wikipedia.org/wiki/Party_of_Development_and_Consolidation_of_Moldova,Party of Development and Consolidation of Moldova
Ecologist Green Party,Centre-left,Green politics Pro-Europeanism Progressivism,https://en.wikipedia.org/wiki/Ecologist_Green_Party_(Moldova),Ecologist Green Party
National Alternative Movement,Centre-left,Social democracy,https://en.wikipedia.org/wiki/National_Alternative_Movement,National Alternative Movement
/w/index.php?title=Coalition for Unity and Welfare&action=edit&redlink=1,,,,
/w/index.php?title=National Moldovan Party&action=edit&redlink=1,,,,
Chance Political Party,Centre-left,Russophilia Liberalism (self-declared) Social democracy Christian democracy,https://en.wikipedia.org/wiki/Chance_Political_Party,Chance Political Party
Victory,Left-wing,Russophilia Moldovenism Populism Social conservatism Eurasianism Hard Euroscepticism Moldova–Russia unionism,https://en.wikipedia.org/wiki/Victory_(political_bloc),Victory
Revival Party,Left-wing,Social conservatism Christian left Russophilia Moldovenism Eurasianism Euroscepticism Socialism,https://en.wikipedia.org/wiki/Revival_Party_(Moldova),Revival Party
Respect Moldova Movement,Centre-left,Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Respect_Moldova_Movement,Respect Moldova Movement
Future of Moldova Party,Left-wing,Left-wing populism Left-wing nationalism Russophilia,https://en.wikipedia.org/wiki/Future_of_Moldova_Party,Future of Moldova Party
/w/index.php?title=League of Cities and Communes&action=edit&redlink=1,,,,
Heart of Moldova Party,Left-wing,Social democracy Social conservatism Euroscepticism Russophilia,https://en.wikipedia.org/wiki/Heart_of_Moldova_Party,Heart of Moldova Party
Alternative,Centre to centre-left,Social democracy Anti-corruption Disputed: Pro-Europeanism,https://en.wikipedia.org/wiki/Alternative_(political_bloc),Alternative
Greater Moldova Party,,Populism Moldovenism Moldovan irredentism Russophilia Social liberalism Anti-Western sentiment Disputed: Pro-Europeanism,https://en.wikipedia.org/wiki/Greater_Moldova_Party,Greater Moldova Party
Together,Centre-right,Pro-Europeanism,https://en.wikipedia.org/wiki/Together_(political_bloc),Together
