party,political_position,ideology,wikipedia_url,party_display_name
Democratic Party of Socialists of Montenegro,Centre to centre-left 1991–1997: Left-wing,Social democracy Populism Montenegrin nationalism Pro-Europeanism 1991–1997: Democratic socialism Serbian-Montenegrin unionism,https://en.wikipedia.org/wiki/Democratic_Party_of_Socialists_of_Montenegro,Democratic Party of Socialists of Montenegro
Democratic Front,Right-wing (Except Radnička Partija ),Serbian nationalism Social conservatism Right-wing populism Russophilia Initially (2012–2015) : Catch-all alliance Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Front_(Montenegro),Democratic Front
Socialist People's Party of Montenegro,Fiscal: Centre-left Social: Centre-right,Social democracy Social conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Socialist_People%27s_Party_of_Montenegro,Socialist People's Party of Montenegro
Positive Montenegro,Centre to centre-left,Social liberalism Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Positive_Montenegro,Positive Montenegro
Bosniak Party,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party,Bosniak Party
Social Democratic Party of Montenegro,Centre-left,Montenegrin nationalism Pro-Europeanism Social democracy,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Montenegro,Social Democratic Party of Montenegro
DEMOS,Centre to centre-right,Liberal conservatism Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/DEMOS_(Montenegro),DEMOS
United Reform Action,Centre to centre-left,Green liberalism Social liberalism Progressivism Pro-Europeanism,https://en.wikipedia.org/wiki/United_Reform_Action,United Reform Action
Democratic Montenegro,Centre to centre-right,Conservative liberalism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Montenegro,Democratic Montenegro
Social Democrats of Montenegro,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democrats_of_Montenegro,Social Democrats of Montenegro
Key Coalition,Big tent,Catch-all coalition Pro-Europeanism,https://en.wikipedia.org/wiki/Key_Coalition,Key Coalition
New Democratic Force,Centre-right,Albanian minority interests Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/New_Democratic_Force_(Montenegro),New Democratic Force
Albanian Alternative,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative,Albanian Alternative
United Montenegro,Right-wing,Serbian nationalism Social conservatism,https://en.wikipedia.org/wiki/United_Montenegro,United Montenegro
True Montenegro,Right-wing,Right-wing populism Conservatism,https://en.wikipedia.org/wiki/True_Montenegro,True Montenegro
Democratic Union of Albanians,Right-wing [ citation needed ],Albanian minority interests Atlanticism Albanian nationalism Social conservatism,https://en.wikipedia.org/wiki/Democratic_Union_of_Albanians,Democratic Union of Albanians
For the Future of Montenegro,Right-wing,Cultural conservatism Serb ethnic interests Anti-corruption Soft Russophilia Factions: Christian democracy Social conservatism National conservatism Right-wing populism Social democracy,https://en.wikipedia.org/wiki/For_the_Future_of_Montenegro,For the Future of Montenegro
New Serb Democracy,Right-wing,Serbian nationalism Serbian–Montenegrin unionism Social conservatism,https://en.wikipedia.org/wiki/New_Serb_Democracy,New Serb Democracy
Democratic People's Party,Centre to Centre-right Faction Centre-left,Serbian–Montenegrin unionism Social conservatism Social democracy Soft Russophilia,https://en.wikipedia.org/wiki/Democratic_People%27s_Party_(Montenegro),Democratic People's Party
Movement for Changes,Right-wing,Populism National conservatism Conspiracy theorism Anti-immigration Anti- European Union federalism Pro-Europeanism,https://en.wikipedia.org/wiki/Movement_for_Changes,Movement for Changes
Christian Democratic Movement,Centre-right,Christian democracy Ethnic Serb interests,https://en.wikipedia.org/wiki/Christian_Democratic_Movement_(Montenegro),Christian Democratic Movement
Europe Now!,Centre,Populism Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Europe_Now,Europe Now!
Aleksa and Dritan - Count Bravely!,Centre,Anti-corruption Populism Pro-Europeanism,https://en.wikipedia.org/wiki/Aleksa_and_Dritan_%E2%80%93_Count_Bravely!,Aleksa and Dritan - Count Bravely!
