date,party,polling_value,political_position,ideology,wikipedia_url
2016-12-14,Albanian Alternative,1.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2017-07-14,Albanian Alternative,1.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2017-10-14,Albanian Alternative,1.0,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2017-12-14,Albanian Alternative,1.0,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2018-03-14,Albanian Alternative,0.2,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2018-12-14,Albanian Alternative,1.5,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2018-12-14,Albanian Alternative,2.3,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2019-07-14,Albanian Alternative,2.6,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2019-08-14,Albanian Alternative,2.0,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2019-12-14,Albanian Alternative,1.6,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2020-08-14,Albanian Alternative,1.6,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2020-09-14,Albanian Alternative,1.7,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2020-09-14,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2020-09-14,Albanian Alternative,2.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2020-10-14,Albanian Alternative,1.6,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2021-06-14,Albanian Alternative,1.8,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2021-12-14,Albanian Alternative,2.4,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2022-01-14,Albanian Alternative,2.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2022-06-14,Albanian Alternative,2.3,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2022-09-14,Albanian Alternative,0.7,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2022-12-14,Albanian Alternative,1.3,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2023-02-14,Albanian Alternative,2.4,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2023-02-14,Albanian Alternative,3.6,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2023-05-14,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2023-06-11,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2023-12-27,Albanian Alternative,2.8,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-03-15,Albanian Alternative,2.5,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-03-19,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-04-24,Albanian Alternative,2.4,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-05-23,Albanian Alternative,2.3,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-05-26,Albanian Alternative,2.8,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-08-07,Albanian Alternative,2.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-10-01,Albanian Alternative,2.1,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-10-15,Albanian Alternative,2.0,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-11-15,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2024-12-25,Albanian Alternative,1.7,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-01-19,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-01-30,Albanian Alternative,1.5,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-03-05,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-03-10,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-05-16,Albanian Alternative,1.5,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-05-31,Albanian Alternative,1.9,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2025-10-16,Albanian Alternative,1.8,Center-right,Albanian minority interests Pro-Europeanism Conservatism,https://en.wikipedia.org/wiki/Albanian_Alternative
2015-05-14,Bosniak Party,3.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-07-14,Bosniak Party,2.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-09-14,Bosniak Party,5.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-10-14,Bosniak Party,3.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-11-14,Bosniak Party,3.3,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-11-14,Bosniak Party,4.5,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2015-12-14,Bosniak Party,2.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-02-14,Bosniak Party,3.6,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-04-14,Bosniak Party,2.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-06-14,Bosniak Party,2.8,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-06-14,Bosniak Party,3.8,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-09-14,Bosniak Party,2.8,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-10-14,Bosniak Party,2.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-10-14,Bosniak Party,3.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2016-12-14,Bosniak Party,3.4,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2017-07-14,Bosniak Party,3.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2017-10-14,Bosniak Party,1.9,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2017-10-14,Bosniak Party,3.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2017-12-14,Bosniak Party,2.7,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2018-03-14,Bosniak Party,2.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2018-12-14,Bosniak Party,3.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2018-12-14,Bosniak Party,3.2,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2019-07-14,Bosniak Party,4.3,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2019-08-14,Bosniak Party,2.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2019-09-14,Bosniak Party,4.0,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2019-10-14,Bosniak Party,3.2,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2019-12-14,Bosniak Party,4.9,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-02-14,Bosniak Party,5.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-04-14,Bosniak Party,4.2,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-05-14,Bosniak Party,4.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-06-14,Bosniak Party,4.2,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-07-14,Bosniak Party,4.1,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-07-14,Bosniak Party,3.2,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-08-14,Bosniak Party,4.8,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-08-14,Bosniak Party,5.4,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-08-14,Bosniak Party,3.9,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
2020-09-14,Bosniak Party,3.8,Centre-right to right-wing,Bosniak nationalism Social conservatism Bosniak minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Bosniak_Party
