date,party,polling_value,political_position,ideology,wikipedia_url
2017-05-23,Alliance for Albanians,2.9,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-04,Alliance for Albanians,12.4,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-05,Alliance for Albanians,7.7,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-07,Alliance for Albanians,7.8,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-14,Alliance for Albanians,9.0,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-18,Alliance for Albanians,7.7,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-21,Alliance for Albanians,8.8,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-21,Alliance for Albanians,8.4,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-07-20,Alliance for Albanians,1.8,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-09-11,Alliance for Albanians,2.7,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-09-17,Alliance for Albanians,5.7,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-09-24,Alliance for Albanians,6.8,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-11-15,Alliance for Albanians,3.0,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-12-01,Alliance for Albanians,2.6,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-12-11,Alliance for Albanians,3.1,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
2017-06-18,Alternativa,1.7,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
2017-07-20,Alternativa,2.0,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
2017-09-17,Alternativa,1.6,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
2017-12-01,Alternativa,0.8,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
2022-05-06,Alternativa,1.9,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
2022-11-13,Alternativa,3.5,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
