date,party,polling_value,political_position,ideology,wikipedia_url
2023-12-02,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2023-12-11,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2023-12-18,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2023-12-22,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-01-20,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-01-29,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-02-03,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-02-09,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-02-12,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-02-26,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-03-08,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-03-22,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-03-25,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-04-19,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-04-29,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-05-04,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-05-12,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-05-18,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-05-21,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-05-27,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-06-01,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-06-06,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-06-17,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-06-24,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-06-29,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-07-06,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-07-29,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-08-26,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-09-14,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-09-16,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-09-23,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-09-23,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-09-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-10-12,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-10-21,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-10-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-11-09,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-11-11,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-11-23,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-11-25,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-12-09,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-12-14,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2024-12-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-01-20,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-01-25,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-01-27,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-02-17,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-02-22,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-02-24,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-03-08,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-03-17,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-03-24,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-03-29,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-04-04,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-04-14,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-04-26,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-04-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-05-12,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-05-26,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-05-31,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-06,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-07,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-09,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-16,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-21,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-06-23,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-07-05,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-07-26,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-07-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-07-28,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-08-09,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-08-25,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-08-25,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-01,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-06,50+,0.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-15,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-15,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-19,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-26,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-29,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-29,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-29,50+,0.8,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-09-29,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-03,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-06,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-06,50+,1.3,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-10,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-13,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-15,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-15,50+,1.6,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-17,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-20,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-24,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-24,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-24,50+,1.3,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-24,50+,0.9,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-24,50+,1.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-28,50+,3.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-28,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-28,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-28,50+,2.1,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-28,50+,1.8,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
2025-10-29,50+,2.0,Centre,Pensioners' interests Populism,https://en.wikipedia.org/wiki/50Plus
