party,party_display_name,display_name,political_position,ideology,wikipedia_url
Red Party,Red Party,,Left-wing to far-left,Communism Anti-capitalism Democratic socialism Marxism Republicanism ( Norwegian ),https://en.wikipedia.org/wiki/Red_Party_(Norway)
Socialist Left Party,Socialist Left Party,,Left-wing,Socialism Eco-socialism Republicanism ( Norwegian ) Euroscepticism,https://en.wikipedia.org/wiki/Socialist_Left_Party_(Norway)
Green Party,Green Party,,Centre-left,Green politics Pro-Europeanism Republicanism ( Norwegian ),https://en.wikipedia.org/wiki/Green_Party_(Norway)
Labour Party,Labour Party,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Labour_Party_(Norway)
Centre Party,Centre Party,,Centre,Agrarianism ( Nordic ) Economic nationalism Euroscepticism,https://en.wikipedia.org/wiki/Centre_Party_(Norway)
Liberal Party,Liberal Party,,Centre to centre-right,Liberalism ( Norwegian ) Social liberalism Green liberalism Republicanism ( Norwegian ),https://en.wikipedia.org/wiki/Liberal_Party_(Norway)
Christian Democratic Party,Christian Democratic Party,,Centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/Christian_Democratic_Party_(Norway)
Conservative Party,Conservative Party,,Centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Conservative_Party_(Norway)
Progress Party,Progress Party,,Right-wing to far-right,Anti-immigration National conservatism Right-libertarianism Right-wing populism,https://en.wikipedia.org/wiki/Progress_Party_(Norway)
Patient Focus,Patient Focus,,,Single-issue politics Regionalism,https://en.wikipedia.org/wiki/Patient_Focus_(Norway)
Industry and Business Party,Industry and Business Party,,Right-wing,Populism,https://en.wikipedia.org/wiki/Industry_and_Business_Party
