date,party,polling_value,political_position,ideology,wikipedia_url
2023-11-08,Bezpartyjni_Samorządowcy,1.36,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2023-11-13,Bezpartyjni_Samorządowcy,2.0,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2023-12-06,Bezpartyjni_Samorządowcy,1.7,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2023-12-17,Bezpartyjni_Samorządowcy,1.46,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-01-09,Bezpartyjni_Samorządowcy,1.7,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-01-14,Bezpartyjni_Samorządowcy,1.28,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-01-22,Bezpartyjni_Samorządowcy,2.2,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-07,Bezpartyjni_Samorządowcy,1.5,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-11,Bezpartyjni_Samorządowcy,1.94,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-12,Bezpartyjni_Samorządowcy,1.6,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-15,Bezpartyjni_Samorządowcy,2.53,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-16,Bezpartyjni_Samorządowcy,1.74,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-02-26,Bezpartyjni_Samorządowcy,3.0,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-03-07,Bezpartyjni_Samorządowcy,2.3,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-03-17,Bezpartyjni_Samorządowcy,2.79,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-04-05,Bezpartyjni_Samorządowcy,2.28,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-04-09,Bezpartyjni_Samorządowcy,4.5,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-04-19,Bezpartyjni_Samorządowcy,2.89,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
2024-05-13,Bezpartyjni_Samorządowcy,1.5,Centre-left,Localism Regionalism Federalism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Bezpartyjni_Samorządowcy
