party,party_display_name,display_name,political_position,ideology,wikipedia_url
Coalition PSD/CDS,Coalition PSD/CDS,,Centre-right to right-wing,Conservatism,https://en.wikipedia.org/wiki/Coalition_PSD/CDS
Socialist Party,Socialist Party,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Socialist_Party_(Portugal)
Unitary Democratic Coalition,Unitary Democratic Coalition,,Far-left,Communism Eco-socialism Social conservatism Hard Euroscepticism,https://en.wikipedia.org/wiki/Unitary_Democratic_Coalition
Left Bloc,Left Bloc,,Left-wing to far-left,Democratic socialism Left-wing populism Anti-capitalism Euroscepticism,https://en.wikipedia.org/wiki/Left_Bloc_(Portugal)
Earth Party,Earth Party,,Centre-right,Green conservatism Liberalism,https://en.wikipedia.org/wiki/Earth_Party
LIVRE,LIVRE,,Centre-left to left-wing,Green politics Progressivism Libertarian socialism Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/LIVRE
Democratic Republican Party,Democratic Republican Party,,Centre,Populism Liberalism,https://en.wikipedia.org/wiki/Democratic_Republican_Party_(Portugal)
Social Democratic Party,Social Democratic Party,,Centre-right,Liberal conservatism Christian democracy,https://en.wikipedia.org/wiki/Social_Democratic_Party_(Portugal)
CDS - People's Party,CDS - People's Party,,Centre-right to right-wing,Christian democracy Conservatism,https://en.wikipedia.org/wiki/CDS_%E2%80%93_People%27s_Party
,,,,,
Liberal Initiative,Liberal Initiative,,Centre-right to right-wing,Liberalism ( Portuguese ),https://en.wikipedia.org/wiki/Liberal_Initiative_(Portugal)
Alliance,Alliance,,Centre-right,Fiscal conservatism Conservative liberalism Social conservatism,https://en.wikipedia.org/wiki/Alliance_(Portugal)
People Animals Nature,People Animals Nature,,Centre-left,Environmentalism Animal rights Ecofeminism,https://en.wikipedia.org/wiki/People%E2%80%93Animals%E2%80%93Nature
Chega,Chega,,Far-right,National conservatism Right-wing populism Ultranationalism Euroscepticism,https://en.wikipedia.org/wiki/Chega_(political_party)
Democratic Alliance,Democratic Alliance,,Centre-right to right-wing,Liberal conservatism Christian democracy Conservatism,"https://en.wikipedia.org/wiki/Democratic_Alliance_(Portugal,_2024)"
LIVRE/Tempo de Avançar,LIVRE,,Centre-left to left-wing,Green politics Progressivism Libertarian socialism Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/LIVRE/Tempo_de_Avan%C3%A7ar
CDS – People's Party,CDS - People's Party,,Centre-right to right-wing,Christian democracy Conservatism,https://en.wikipedia.org/wiki/CDS_%E2%80%93_People%27s_Party
Pedro Passos Coelho,Pedro Passos Coelho,,,,
António Costa,António Costa,,,,
António José Seguro,António José Seguro,,,,
People–Animals–Nature,People Animals Nature,,Centre-left,Environmentalism Animal rights Ecofeminism,https://en.wikipedia.org/wiki/People%E2%80%93Animals%E2%80%93Nature
Paulo Rangel,Paulo Rangel,,,,
Jorge Moreira da Silva,Jorge Moreira da Silva,,,,
Luís Montenegro,Luís Montenegro,,,,
Nuno Melo,Nuno Melo,,,,
Pedro Nuno Santos,Pedro Nuno Santos,,,,
José Luís Carneiro,José Luís Carneiro,,,,
Together for the People,Together for the People,,Centre to centre-left [ citation needed ],Madeiran regionalism Social liberalism,https://en.wikipedia.org/wiki/Together_for_the_People
