party,party_display_name,display_name,political_position,ideology,wikipedia_url
Social Democratic Party,Social Democratic Party,,Centre-left,Social democracy Social conservatism Economic nationalism,https://en.wikipedia.org/wiki/Social_Democratic_Party_(Romania)
National Liberal Party,National Liberal Party,,Centre-right,Christian democracy Social conservatism,https://en.wikipedia.org/wiki/National_Liberal_Party_(Romania)
Save Romania Union,Save Romania Union,,Centre to centre-right,Liberalism ( Romanian ) Pro-Europeanism,https://en.wikipedia.org/wiki/Save_Romania_Union
Democratic Union of Hungarians in Romania,Democratic Union of Hungarians in Romania,,Centre-right,Hungarian minority interests Transylvanianism Social conservatism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Alliance_of_Hungarians_in_Romania
Alliance of Liberals and Democrats,Alliance of Liberals and Democrats,,Centre to centre-right,Liberalism ( Romanian ) Conservative liberalism,https://en.wikipedia.org/wiki/Alliance_of_Liberals_and_Democrats_(Romania)
People's Movement Party,People's Movement Party,,Centre-right to right-wing,Liberal Conservatism Social conservatism Monarchism Pro-Europeanism,https://en.wikipedia.org/wiki/People%27s_Movement_Party
"Freedom, Unity and Solidarity Party","Freedom, Unity and Solidarity Party",,Centre,Liberalism Pro-Europeanism,"https://en.wikipedia.org/wiki/Freedom,_Unity_and_Solidarity_Party"
PRO Romania,PRO Romania,,Centre to centre-left,Social liberalism Social democracy Nationalism Progressivism [ non-primary source needed ] Pro-Europeanism,https://en.wikipedia.org/wiki/PRO_Romania
Alliance for the Union of Romanians,Alliance for the Union of Romanians,,Right-wing to far-right,Revolutionary nationalism Ultranationalism Christian right Conservatism Right-wing populism Factions: Neo-Legionarism,https://en.wikipedia.org/wiki/Alliance_for_the_Union_of_Romanians
AUR Alliance,AUR Alliance,,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
Social Liberal Humanist Party,Social Liberal Humanist Party,,Centre,Humanism Conservatism Populism,https://en.wikipedia.org/wiki/Social_Liberal_Humanist_Party
Romanian Ecologist Party,Romanian Ecologist Party,,Fiscal: Centre Cultural: Right-wing,Green conservatism Right-wing populism Romanian nationalism Christian democracy Protectionism Soft euroscepticism Social conservatism Economic nationalism,https://en.wikipedia.org/wiki/Ecologist_Party_of_Romania
Green Party,Green Party,,Centre-left to left-wing Faction : Centre-right,Green politics Progressivism Pro-Europeanism Big tent Faction : Green conservatism,https://en.wikipedia.org/wiki/Green_Party_(Romania)
,,,,,
United Right Alliance,United Right Alliance,,Majority: Centre-right Minority: Right-wing,,https://en.wikipedia.org/wiki/United_Right_Alliance
Renewing Romania's European Project,Renewing Romania's European Project,,Centre,Liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Renewing_Romania%27s_European_Project
S.O.S. Romania,S.O.S. Romania,,Far-right,Romanian ultranationalism Romanian irredentism Social conservatism Right-wing populism Neo-Legionarism,https://en.wikipedia.org/wiki/S.O.S._Romania
AER for Romania,AER for Romania,,Fiscal: Centre-left Cultural: Centre-right,Green conservatism,https://en.wikipedia.org/wiki/AER_for_Romania
National Coalition for Romania,National Coalition for Romania,,Big tent,Economic patriotism Social conservatism,https://en.wikipedia.org/wiki/National_Coalition_for_Romania
Force of the Right,Force of the Right,,Centre-right to right-wing,Liberal conservatism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Force_of_the_Right
Party of Young People,Party of Young People,,Right-wing to far-right,Romanian nationalism Right-wing populism,https://en.wikipedia.org/wiki/Party_of_Young_People
Romanian Sovereigntist Bloc,Romanian Sovereigntist Bloc,,,Romanian nationalism Sovereigntism National populism Social conservatism,https://en.wikipedia.org/wiki/Romanian_Sovereigntist_Bloc
USR PLUS,USR PLUS,,Centre,Anti-corruption Progressivism Liberalism Economic liberalism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/USR_PLUS
Alliance for the Homeland,Alliance for the Homeland,,Right-wing to Far-right,Economic nationalism Protectionism National conservatism Social conservatism Euroscepticism Sovereigntism Right-wing populism,https://en.wikipedia.org/wiki/Alliance_for_the_Homeland
Health Education Nature Sustainability Party,Health Education Nature Sustainability Party,,Centre-left,Progressivism Green politics,https://en.wikipedia.org/wiki/Health_Education_Nature_Sustainability_Party
Justice and Respect in Europe for All Party,Justice and Respect in Europe for All Party,,Centre to centre-right,Centrism Anti-corruption Big tent Factions: Romanian nationalism,https://en.wikipedia.org/wiki/Justice_and_Respect_in_Europe_for_All_Party
Democratic Alliance of Hungarians in Romania,Democratic Union of Hungarians in Romania,,Centre-right,Hungarian minority interests Transylvanianism Social conservatism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Alliance_of_Hungarians_in_Romania
Ecologist Party of Romania,Romanian Ecologist Party,,Fiscal: Centre Cultural: Right-wing,Green conservatism Right-wing populism Romanian nationalism Christian democracy Protectionism Soft euroscepticism Social conservatism Economic nationalism,https://en.wikipedia.org/wiki/Ecologist_Party_of_Romania
List of political parties in Romania,List of political parties in Romania,,,,
