date,party,polling_value,political_position,ideology,wikipedia_url
2024-12-01,AUR_Alliance,18.3,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2024-12-01,AUR_Alliance,18.01,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-01-16,AUR_Alliance,29.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-01-25,AUR_Alliance,22.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-02-16,AUR_Alliance,27.9,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-03-28,AUR_Alliance,31.7,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-04-05,AUR_Alliance,27.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-04-26,AUR_Alliance,26.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-05-28,AUR_Alliance,32.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-05-28,AUR_Alliance,36.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-05-30,AUR_Alliance,35.0,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-05-30,AUR_Alliance,38.1,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
2025-06-26,AUR_Alliance,40.5,Right-wing to far-right,National conservatism Christian nationalism Right-wing populism,https://en.wikipedia.org/wiki/AUR_Alliance
