party,party_display_name,display_name,political_position,ideology,wikipedia_url
Serbian Progressive Party,Serbian Progressive Party,,Big tent,Populism Neoliberalism,https://en.wikipedia.org/wiki/Serbian_Progressive_Party
Socialist Party of Serbia,Socialist Party of Serbia,,Centre-left,Social democracy Populism,https://en.wikipedia.org/wiki/Socialist_Party_of_Serbia
Democratic Party,Democratic Party,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
Serbian Radical Party,Serbian Radical Party,,Far-right,Ultranationalism Serbian irredentism Right-wing populism Russophilia,https://en.wikipedia.org/wiki/Serbian_Radical_Party
Dveri,Dveri,,Right-wing to far-right,Serbian nationalism Economic nationalism Right-wing populism Christian right,https://en.wikipedia.org/wiki/Dveri
New Democratic Party of Serbia,New Democratic Party of Serbia,,Right-wing,National conservatism,https://en.wikipedia.org/wiki/New_Democratic_Party_of_Serbia
Social Democratic Party,Social Democratic Party,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Party_(Serbia)
Liberal Democratic Party,Liberal Democratic Party,,Centre,Liberalism Classical liberalism Progressivism,https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(Serbia)
Enough is Enough,Enough is Enough,,Right-wing to far-right,Conservatism Right-wing populism,https://en.wikipedia.org/wiki/Enough_is_Enough_(party)
Serbia Must Not Stop,Serbia Must Not Stop,,Big tent,Populism,https://en.wikipedia.org/wiki/Serbia_Must_Not_Stop
Serbian Patriotic Alliance,Serbian Patriotic Alliance,,Right-wing,Conservatism Right-wing populism,https://en.wikipedia.org/wiki/Serbian_Patriotic_Alliance
Movement of Free Citizens,Movement of Free Citizens,,Centre,Liberalism Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Movement_of_Free_Citizens_(Serbia)
,,,,,
United Democratic Serbia,United Democratic Serbia,,Center-left,Social liberalism Social democracy,https://en.wikipedia.org/wiki/United_Democratic_Serbia
Movement for the Restoration of the Kingdom of Serbia,Movement for the Restoration of the Kingdom of Serbia,,Right-wing,National conservatism Monarchism,https://en.wikipedia.org/wiki/POKS
Serbian Party Oathkeepers,Serbian Party Oathkeepers,,Far-right,Ultranationalism Social conservatism Russophilia,https://en.wikipedia.org/wiki/Serbian_Party_Oathkeepers
People's Party,People's Party,,Right-wing,Conservatism Serbian nationalism,"https://en.wikipedia.org/wiki/People%27s_Party_(Serbia,_2017)"
Alliance for Serbia,Alliance for Serbia,,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
United for the Victory of Serbia,United for the Victory of Serbia,,Centre,,https://en.wikipedia.org/wiki/United_for_the_Victory_of_Serbia
We Must,We Must,,Centre-left to left-wing,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/We_Must_(Serbia)
National Democratic Alternative,National Democratic Alternative,,Right-wing,National conservatism Monarchism,https://en.wikipedia.org/wiki/National_Democratic_Alternative_(Serbia)
Sovereignists,Sovereignists,,Right-wing to far-right,Right-wing populism,https://en.wikipedia.org/wiki/Sovereignists_(Serbia)
Biljana Stojković,Biljana Stojković,,Together (2022–2024) DS (2024–present),,https://en.wikipedia.org/wiki/Biljana_Stojkovi%C4%87
