date,party,polling_value,political_position,ideology,wikipedia_url
2018-07-06,Alliance for Serbia,5.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-07-19,Alliance for Serbia,6.3,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-08-08,Alliance for Serbia,9.6,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-09-07,Alliance for Serbia,9.7,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-09-20,Alliance for Serbia,15.3,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-10-11,Alliance for Serbia,11.7,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-11-09,Alliance for Serbia,13.1,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-11-23,Alliance for Serbia,17.3,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-12-06,Alliance for Serbia,13.9,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2018-12-26,Alliance for Serbia,14.4,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-01-20,Alliance for Serbia,14.0,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-02-01,Alliance for Serbia,13.6,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-03-08,Alliance for Serbia,12.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-03-13,Alliance for Serbia,10.0,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-03-16,Alliance for Serbia,13.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-04-05,Alliance for Serbia,9.8,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-04-11,Alliance for Serbia,11.8,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-04-27,Alliance for Serbia,14.5,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-05-08,Alliance for Serbia,10.5,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-06-05,Alliance for Serbia,10.6,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-07-04,Alliance for Serbia,11.1,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-07-07,Alliance for Serbia,11.3,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-07-09,Alliance for Serbia,15.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-08-01,Alliance for Serbia,11.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-09-11,Alliance for Serbia,11.5,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-09-22,Alliance for Serbia,14.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-10-15,Alliance for Serbia,11.2,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-11-04,Alliance for Serbia,8.5,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-12-09,Alliance for Serbia,10.1,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2019-12-24,Alliance for Serbia,14.0,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2020-01-04,Alliance for Serbia,6.0,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2020-01-04,Alliance for Serbia,10.0,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2020-02-04,Alliance for Serbia,10.3,Big tent,,https://en.wikipedia.org/wiki/Alliance_for_Serbia
2014-03-16,Democratic Party,6.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-04-16,Democratic Party,6.3,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-05-29,Democratic Party,5.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-05-29,Democratic Party,6.2,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-07-02,Democratic Party,6.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-08-13,Democratic Party,5.2,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-09-06,Democratic Party,5.9,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-10-01,Democratic Party,5.9,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-10-10,Democratic Party,6.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-10-15,Democratic Party,6.5,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2014-12-19,Democratic Party,6.6,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-01-05,Democratic Party,10.8,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-01-30,Democratic Party,3.2,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-04-03,Democratic Party,7.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-04-22,Democratic Party,12.5,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-04-24,Democratic Party,7.2,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-04-29,Democratic Party,8.3,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-05-27,Democratic Party,7.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-06-25,Democratic Party,7.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-06-26,Democratic Party,10.9,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-07-30,Democratic Party,7.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-08-30,Democratic Party,7.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-09-14,Democratic Party,11.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-09-30,Democratic Party,7.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-10-04,Democratic Party,5.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-10-07,Democratic Party,5.8,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-10-18,Democratic Party,9.4,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-10-30,Democratic Party,6.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-11-27,Democratic Party,5.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-11-30,Democratic Party,6.5,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-12-03,Democratic Party,11.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-12-03,Democratic Party,5.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-12-24,Democratic Party,5.9,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-12-25,Democratic Party,6.5,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2015-12-27,Democratic Party,6.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-02-03,Democratic Party,6.8,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-02-07,Democratic Party,10.8,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-03-03,Democratic Party,6.4,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-03-27,Democratic Party,6.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-03-31,Democratic Party,5.0,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-03-31,Democratic Party,4.6,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-04-10,Democratic Party,5.7,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-04-10,Democratic Party,5.6,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-04-13,Democratic Party,5.1,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-04-14,Democratic Party,7.5,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
2016-04-19,Democratic Party,4.9,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_(Serbia)
