date,party,polling_value,political_position,ideology,wikipedia_url
2021-09-19,A_Just_Russia_—_For_Truth,7.46,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-09-19,A_Just_Russia_—_For_Truth,7.46,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-09-19,A_Just_Russia_—_For_Truth,7.46,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-09-19,A_Just_Russia_—_For_Truth,7.46,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-09-19,A_Just_Russia_—_For_Truth,7.46,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-09-26,A_Just_Russia_—_For_Truth,6.4,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-03,A_Just_Russia_—_For_Truth,6.1,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-10,A_Just_Russia_—_For_Truth,6.3,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-17,A_Just_Russia_—_For_Truth,6.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-17,A_Just_Russia_—_For_Truth,6.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-24,A_Just_Russia_—_For_Truth,6.9,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-24,A_Just_Russia_—_For_Truth,6.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-27,A_Just_Russia_—_For_Truth,5.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-31,A_Just_Russia_—_For_Truth,7.1,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-10-31,A_Just_Russia_—_For_Truth,6.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-07,A_Just_Russia_—_For_Truth,6.6,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-07,A_Just_Russia_—_For_Truth,6.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-14,A_Just_Russia_—_For_Truth,6.5,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-14,A_Just_Russia_—_For_Truth,5.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-21,A_Just_Russia_—_For_Truth,6.9,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-21,A_Just_Russia_—_For_Truth,5.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-28,A_Just_Russia_—_For_Truth,6.9,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-11-28,A_Just_Russia_—_For_Truth,5.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
2021-12-01,A_Just_Russia_—_For_Truth,4.0,Centre to centre-left,Social democracy Social conservatism National conservatism Eurasianism,https://en.wikipedia.org/wiki/A_Just_Russia_—_For_Truth
