party,party_display_name,display_name,political_position,ideology,wikipedia_url
Slovenian Democratic Party,Slovenian Democratic Party,,Right-wing,National conservatism Nationalism Right-wing populism,https://en.wikipedia.org/wiki/Slovenian_Democratic_Party
Social Democrats,Social Democrats,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Social_Democrats_(Slovenia)
Modern Centre Party,Modern Centre Party,,Centre to centre-left,Social liberalism Liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Modern_Centre_Party
The Left,The Left,,Left-wing,Democratic socialism Eco-socialism Antimilitarism,https://en.wikipedia.org/wiki/The_Left_(Slovenia)
New Slovenia,New Slovenia,,Centre-right,Christian democracy Conservatism,https://en.wikipedia.org/wiki/New_Slovenia
Party of Alenka Bratušek,Party of Alenka Bratušek,,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Party_of_Alenka_Bratu%C5%A1ek
Democratic Party of Pensioners of Slovenia,Democratic Party of Pensioners of Slovenia,,Centre,Pensioners' interests Single-issue politics Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Party_of_Pensioners_of_Slovenia
Slovenian National Party,Slovenian National Party,,Far-right,Nationalism Right-wing populism,https://en.wikipedia.org/wiki/Slovenian_National_Party
Slovenian People's Party,Slovenian People's Party,,Centre-right,Conservatism Agrarianism Christian democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Slovenian_People%27s_Party
Positive Slovenia,Positive Slovenia,,Centre to centre-left,Social liberalism Social democracy,https://en.wikipedia.org/wiki/Positive_Slovenia
Civic List,Civic List,,Centre to centre-right,Classical liberalism,https://en.wikipedia.org/wiki/Civic_List_(Slovenia)
Voice for Children and Families,Voice for Children and Families,,Right-wing,Christian democracy Political Catholicism Social conservatism Populism,https://en.wikipedia.org/wiki/Voice_for_Children_and_Families
New People's Party of Slovenia,New People's Party of Slovenia,,Centre-right,Conservatism Agrarianism,https://en.wikipedia.org/wiki/New_People%27s_Party_of_Slovenia
List of Marjan Šarec,List of Marjan Šarec,,Centre to centre-left,Social liberalism Populism,https://en.wikipedia.org/wiki/List_of_Marjan_%C5%A0arec
Let's Connect Slovenia,Let's Connect Slovenia,,Centre to centre-right,Big tent,https://en.wikipedia.org/wiki/Let%27s_Connect_Slovenia
Pirate Party,Pirate Party,,Syncretic,Pirate politics Freedom of information Open government Network neutrality,https://en.wikipedia.org/wiki/Pirate_Party_(Slovenia)
,,,,,
Our Country,Our Country,,Centre [ citation needed ] to centre-right,Decentralization Pro-Europeanism Agrarianism,https://en.wikipedia.org/wiki/Our_Country_(Slovenia)
Freedom Movement,Freedom Movement,,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
Vesna - Green Party,Vesna - Green Party,,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Vesna_%E2%80%93_Green_Party
Liberal Democrats,Liberal Democrats,,Centre to centre-left,Liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Liberal_Democrats_(Slovenia)
Resni.ca,Resni.ca,,,Populism Direct democracy Civil libertarianism Souverainism Euroscepticism,https://en.wikipedia.org/wiki/Resni.ca
Andrej Čuš and Greens of Slovenia,Andrej Čuš and Greens of Slovenia,,Centre-right,Green conservatism,https://en.wikipedia.org/wiki/Greens_of_Slovenia
Focus of Marko Lotrič,Focus of Marko Lotrič,,Centre-right,Conservatism Liberalism,https://en.wikipedia.org/wiki/Focus_of_Marko_Lotri%C4%8D
Party of Generations,Party of Generations,,Centre-left,Social liberalism Social democracy Pensioners' interests Pro-Europeanism,https://en.wikipedia.org/wiki/Party_of_Generations
Democrats,Democrats,,Centre to centre-right,Anti-corruption Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
Prerod,Prerod,,Centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Prerod
Pavel Rupar's Voice of Pensioners,Pavel Rupar's Voice of Pensioners,,Centre-right,Pensioners' interests Single-issue,https://en.wikipedia.org/wiki/Voice_of_Pensioners
"We, Socialists!","We, Socialists!",,,Socialism,"https://en.wikipedia.org/wiki/We,_Socialists!"
Concretely,Concretely,,Centre,Liberalism Conservative liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Concretely
/w/index.php?title=Our Future &action=edit&redlink=1,/w/index.php?title=Our Future &action=edit&redlink=1,,,,
Spring – Green Party,Vesna - Green Party,,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Spring_%E2%80%93_Green_Party
Good State,Good State,,,,
Vesna – Green Party,Vesna - Green Party,,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Vesna_%E2%80%93_Green_Party
Greens of Slovenia,Andrej Čuš and Greens of Slovenia,,Centre-right,Green conservatism,https://en.wikipedia.org/wiki/Greens_of_Slovenia
Voice of Pensioners,Pavel Rupar's Voice of Pensioners,,Centre-right,Pensioners' interests Single-issue,https://en.wikipedia.org/wiki/Voice_of_Pensioners
Karl Erjavec - Trust Party,Karl Erjavec - Trust Party,,Centre,,https://en.wikipedia.org/wiki/Karl_Erjavec_-_Trust_Party
Alternative for Slovenia,Alternative for Slovenia,,Centre to Centre-left,Antiglobalism Sovereigntism Populism Soft Euroscepticism Anti-vaccination,https://en.wikipedia.org/wiki/Alternative_for_Slovenia
History of Slovenia,History of Slovenia,,,,
Template:Slovenia topics,Template:Slovenia topics,,,,
Timeline of Slovenian history,Timeline of Slovenian history,,,,
"NSi, SLS, FOKUS","NSi, SLS, FOKUS",,Centre-right,Christian democracy agrarianism conservative liberalism,"https://en.wikipedia.org/wiki/NSi,_SLS,_FOKUS"
Levica and Vesna,Levica and Vesna,,Centre-left to Left-wing,Progressivism Green politics Democratic socialism,https://en.wikipedia.org/wiki/Levica_and_Vesna
Our Future,Our Future,,Centre,,https://en.wikipedia.org/wiki/Our_Future_(political_party)
For a Healthy Society,For a Healthy Society,,,Vaccine hesitancy Anti-5G Antiglobalism Anti-immigration,https://en.wikipedia.org/wiki/For_a_Healthy_Society
