date,party,polling_value,political_position,ideology,wikipedia_url
2025-01-15,D.,2.7,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-02-12,D.,2.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-02-20,D.,4.8,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-03-06,D.,4.8,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-03-12,D.,3.3,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-03-21,D.,3.5,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-04-04,D.,4.3,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-04-10,D.,7.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-04-16,D.,4.7,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-04-24,D.,2.5,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-04-28,D.,5.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-05-07,D.,3.0,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-05-10,D.,6.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-05-14,D.,4.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-05-22,D.,4.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-05-26,D.,4.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-06,D.,9.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-11,D.,7.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-12,D.,4.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-12,D.,4.5,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-19,D.,4.4,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-06-30,D.,5.3,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-07-03,D.,4.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-07-09,D.,4.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-07-09,D.,3.4,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-07-24,D.,4.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-07-28,D.,6.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-08-07,D.,5.7,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-08-07,D.,3.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-08-13,D.,3.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-08-21,D.,3.7,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-08-25,D.,6.8,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-09-04,D.,4.0,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-09-10,D.,5.4,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-09-12,D.,6.2,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-09-25,D.,3.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-09-29,D.,6.3,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-09,D.,4.2,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-15,D.,5.6,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-15,D.,6.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-20,D.,4.9,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-20,D.,5.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-22,D.,5.7,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-23,D.,4.1,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-10-26,D.,6.5,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-11-06,D.,3.5,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-11-13,D.,3.2,Centre to centre-right,Conservative liberalism Anti-corruption Third Way Decentralisation,https://en.wikipedia.org/wiki/Democrats_(Slovenia)
2025-01-09,GS,14.4,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-01-15,GS,16.4,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-01-23,GS,12.3,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-02-06,GS,12.7,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-02-12,GS,16.3,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-02-20,GS,13.0,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-03-06,GS,15.7,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-03-12,GS,16.6,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-03-21,GS,15.2,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-04-04,GS,12.5,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-04-10,GS,11.9,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-04-16,GS,17.2,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-04-24,GS,14.2,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-04-28,GS,18.8,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-05-07,GS,17.7,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-05-10,GS,20.1,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-05-14,GS,17.1,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-05-22,GS,17.8,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
2025-05-26,GS,17.4,Centre to centre-left,Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Freedom_Movement_(Slovenia)
