party,party_display_name,display_name,political_position,ideology,wikipedia_url
Direction - Social Democracy,Direction - Social Democracy,,Centre-left to left-wing,Social democracy Left-wing populism Left-wing nationalism Social conservatism Soft Euroscepticism,https://en.wikipedia.org/wiki/Direction_%E2%80%93_Social_Democracy
Christian Democratic Movement,Christian Democratic Movement,,Centre-right,Christian democracy Social conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Christian_Democratic_Movement
Most-Híd,Most-Híd,,Centre to centre-right,Liberal conservatism Hungarian minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Most%E2%80%93H%C3%ADd
Slovakia,Slovakia,,Centre to centre-right,Populism National conservatism,https://en.wikipedia.org/wiki/Ordinary_People_and_Independent_Personalities
Slovak National Party,Slovak National Party,,Right-wing to far-right,Ultranationalism National conservatism Social conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Slovak_National_Party
Hungarian Alliance,Hungarian Alliance,,Centre-right,Hungarian minority interests Hungarian nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Hungarian_Alliance_(Slovak_political_party)
Freedom and Solidarity,Freedom and Solidarity,,Centre-right,Classical liberalism Conservative liberalism Civil libertarianism,https://en.wikipedia.org/wiki/Freedom_and_Solidarity
Slovak Democratic and Christian Union - Democratic Party,Slovak Democratic and Christian Union - Democratic Party,,Centre-right,Liberal conservatism Christian democracy Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party
Slovak Conservative Party,Slovak Conservative Party,,Centre to centre-right,Liberal conservatism Christian democracy Social conservatism Economic liberalism,https://en.wikipedia.org/wiki/NETWORK_(Slovak_party)
NOVA,NOVA,,Centre-right,Conservatism Christian democracy,https://en.wikipedia.org/wiki/New_Majority_(Slovakia)
People's Party Our Slovakia,People's Party Our Slovakia,,Far-right,Neo-Nazism Neo-fascism Right-wing populism Ultranationalism Anti-Americanism Hard Euroscepticism Russophilia,https://en.wikipedia.org/wiki/People%27s_Party_Our_Slovakia
We Are Family,We Are Family,,Right-wing to far-right,National conservatism Right-wing populism,https://en.wikipedia.org/wiki/We_Are_Family_(Slovakia)
,,,,,
Progressive Slovakia,Progressive Slovakia,,Centre to centre-left,Liberalism ( Slovak ) Social liberalism Progressivism Pro-Europeanism,https://en.wikipedia.org/wiki/Progressive_Slovakia
For the People,For the People,,Centre to centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/For_the_People_(Slovakia)
Homeland,Homeland,,Right-wing to far-right,National conservatism Slovak nationalism Right-wing populism Anti-immigration Euroscepticism,https://en.wikipedia.org/wiki/Homeland_(Slovak_political_party)
Good Choice,Good Choice,,Centre,Moderate politics Technocracy Pro-Europeanism,https://en.wikipedia.org/wiki/Good_Choice
Democrats,Democrats,,Centre to centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Democrats_(Slovakia)
Republic Movement,Republic Movement,,Far-right,Neo-fascism National conservatism Right-wing populism Ultranationalism,https://en.wikipedia.org/wiki/Republic_(Slovakia)
Forum,Forum,,Centre-right,Hungarian minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Hungarian_Forum
Voice - Social Democracy,Voice - Social Democracy,,Centre-left to left-wing,Social democracy Left-wing populism Left-wing nationalism,https://en.wikipedia.org/wiki/Voice_%E2%80%93_Social_Democracy
The Blues - ES,The Blues - ES,,Centre-right,Conservative liberalism Pro-Europeanism,"https://en.wikipedia.org/wiki/Modr%C3%AD,_Most%E2%80%93H%C3%ADd"
Christian Union,Christian Union,,Right-wing,Christian right National conservatism Social conservatism,https://en.wikipedia.org/wiki/Christian_Union_(Slovakia)
Direction – Social Democracy,Direction - Social Democracy,,Centre-left to left-wing,Social democracy Left-wing populism Left-wing nationalism Social conservatism Soft Euroscepticism,https://en.wikipedia.org/wiki/Direction_%E2%80%93_Social_Democracy
NETWORK,Slovak Conservative Party,,Centre to centre-right,Liberal conservatism Christian democracy Social conservatism Economic liberalism,https://en.wikipedia.org/wiki/NETWORK_(Slovak_party)
Most–Híd,Most-Híd,,Centre to centre-right,Liberal conservatism Hungarian minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Most%E2%80%93H%C3%ADd
Ordinary People,Slovakia,,Centre to centre-right,Populism National conservatism,https://en.wikipedia.org/wiki/Ordinary_People_(Slovakia)
Party of the Hungarian Community,Hungarian Alliance,,Centre-right,Hungarian minority interests Hungarian nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Party_of_the_Hungarian_Community
New Majority,NOVA,,Centre-right,Conservatism Christian democracy,https://en.wikipedia.org/wiki/New_Majority_(Slovakia)
Slovak Democratic and Christian Union – Democratic Party,Slovak Democratic and Christian Union - Democratic Party,,Centre-right,Liberal conservatism Christian democracy Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party
Kotleba – People's Party Our Slovakia,People's Party Our Slovakia,,Far-right,Neo-Nazism Neo-fascism Right-wing populism Ultranationalism Anti-Americanism Hard Euroscepticism Russophilia,https://en.wikipedia.org/wiki/Kotleba_%E2%80%93_People%27s_Party_Our_Slovakia
Magyar Közösségi Összefogás – Maďarská komunitná spolupatričnosť,Magyar Közösségi Összefogás – Maďarská komunitná spolupatričnosť,,,,
TOGETHER - Civic Democracy,Democrats,,Centre to centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/TOGETHER_-_Civic_Democracy
Ordinary People and Independent Personalities,Slovakia,,Centre to centre-right,Populism National conservatism,https://en.wikipedia.org/wiki/Ordinary_People_and_Independent_Personalities
OĽaNO and Friends,OĽaNO and Friends,,,,
Hungarian Forum,Forum,,Centre-right,Hungarian minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Hungarian_Forum
Alliance,Hungarian Alliance,,Centre-right,Hungarian minority interests Hungarian nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_(Slovak_political_party)
Hungarian Community Co-operation,Hungarian Alliance,,Centre-right,Hungarian minority interests Hungarian nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Hungarian_Community_Co-operation
"Modrí, Most–Híd",The Blues - ES,,Centre-right,Conservative liberalism Pro-Europeanism,"https://en.wikipedia.org/wiki/Modr%C3%AD,_Most%E2%80%93H%C3%ADd"
Voice – Social Democracy,Voice - Social Democracy,,Centre-left to left-wing,Social democracy Left-wing populism Left-wing nationalism,https://en.wikipedia.org/wiki/Voice_%E2%80%93_Social_Democracy
REPUBLIC,Republic Movement,,Far-right,Neo-fascism National conservatism Right-wing populism Ultranationalism,https://en.wikipedia.org/wiki/REPUBLIC_(Slovakia)
TOGETHER – Civic Democracy,Democrats,,Centre to centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/TOGETHER_%E2%80%93_Civic_Democracy
Republic,Republic Movement,,Far-right,Neo-fascism National conservatism Right-wing populism Ultranationalism,https://en.wikipedia.org/wiki/Republic_(Slovakia)
