party,party_display_name,display_name,political_position,ideology,wikipedia_url
Justice and Development Party,Justice and Development Party,,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
Republican People's Party,Republican People's Party,,Centre-left,Social democracy Kemalism Pro-Europeanism,https://en.wikipedia.org/wiki/Cumhuriyet_Halk_Partisi
Nationalist Movement Party,Nationalist Movement Party,,Far-right,Turkish ultranationalism Turkish–Islamic nationalism National conservatism Right-wing populism Euroscepticism Neo-fascism,https://en.wikipedia.org/wiki/Milliyet%C3%A7i_Hareket_Partisi
Peoples' Democratic Party,Peoples' Democratic Party,,Centre-left to left-wing,Minority rights Kurdish interests Kurdish nationalism Democratic socialism Secularism Progressivism Social democracy Left-wing populism Anti-Zionism Regionalism Feminism,https://en.wikipedia.org/wiki/Peoples%27_Democratic_Party_(Turkey)
Anatolia Party,Anatolia Party,,Centre-left,Social democracy Environmentalism Secularism / Laicism Progressivism Feminism Republicanism Civic nationalism,https://en.wikipedia.org/wiki/Anatolia_Party
Peace and Democracy Party,Peace and Democracy Party,,Centre-left to left-wing,Kurdish minority rights Emancipation of women Kurdish nationalism,https://en.wikipedia.org/wiki/Peace_and_Democracy_Party
Felicity Party,Felicity Party,,Right-wing,Conservatism Religious conservatism Religious nationalism Millî Görüş Islamism,https://en.wikipedia.org/wiki/Felicity_Party
Good Party,Good Party,,Centre-right to right-wing,Kemalism Turkish nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/%C4%B0Y%C4%B0_Parti
Peoples' Equality and Democracy Party,Peoples' Equality and Democracy Party,,Centre-left to left-wing,Minority rights Kurdish interests Kurdish nationalism Regionalism Social democracy Secularism Democratic socialism Feminism Progressivism,https://en.wikipedia.org/wiki/Halklar%C4%B1n_E%C5%9Fitlik_ve_Demokrasi_Partisi
New Welfare Party,New Welfare Party,,Right-wing to far-right,Millî Görüş Islamism Neo-Ottomanism Pan-Islamism Hard Euroscepticism Ultraconservatism,https://en.wikipedia.org/wiki/Yeniden_Refah_Partisi
Victory Party,Victory Party,,Right-wing to far-right,Kemalism Anti-immigration Ultranationalism Pan-Turkism,https://en.wikipedia.org/wiki/Zafer_Partisi
Workers' Party of Turkey,Workers' Party of Turkey,,Left-wing to far-left,Communism Marxism–Leninism Left-wing populism Progressivism,https://en.wikipedia.org/wiki/T%C3%BCrkiye_%C4%B0%C5%9F%C3%A7i_Partisi_(2017)
,,,,,
İyi Party,Good Party,,Centre-right to right-wing,Kemalism Turkish nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/%C4%B0yi_Party
Adalet ve Kalkınma Partisi,Justice and Development Party,,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
Cumhuriyet Halk Partisi,Republican People's Party,,Centre-left,Social democracy Kemalism Pro-Europeanism,https://en.wikipedia.org/wiki/Cumhuriyet_Halk_Partisi
Milliyetçi Hareket Partisi,Nationalist Movement Party,,Far-right,Turkish ultranationalism Turkish–Islamic nationalism National conservatism Right-wing populism Euroscepticism Neo-fascism,https://en.wikipedia.org/wiki/Milliyet%C3%A7i_Hareket_Partisi
İYİ Parti,Good Party,,Centre-right to right-wing,Kemalism Turkish nationalism National conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/%C4%B0Y%C4%B0_Parti
Halkların Eşitlik ve Demokrasi Partisi,Peoples' Equality and Democracy Party,,Centre-left to left-wing,Minority rights Kurdish interests Kurdish nationalism Regionalism Social democracy Secularism Democratic socialism Feminism Progressivism,https://en.wikipedia.org/wiki/Halklar%C4%B1n_E%C5%9Fitlik_ve_Demokrasi_Partisi
Yeniden Refah Partisi,New Welfare Party,,Right-wing to far-right,Millî Görüş Islamism Neo-Ottomanism Pan-Islamism Hard Euroscepticism Ultraconservatism,https://en.wikipedia.org/wiki/Yeniden_Refah_Partisi
Zafer Partisi,Victory Party,,Right-wing to far-right,Anti-immigration Kemalism Pan-Turkism Right-wing populism Ultranationalism,https://en.wikipedia.org/wiki/Zafer_Partisi
Türkiye İşçi Partisi,Workers' Party of Turkey,,Left-wing to far-left,Communism Marxism–Leninism Left-wing populism Progressivism,https://en.wikipedia.org/wiki/T%C3%BCrkiye_%C4%B0%C5%9F%C3%A7i_Partisi_(2017)
Anahtar Parti,Anahtar Parti,,,,
