date,party,polling_value,political_position,ideology,wikipedia_url
2023-01-14,Adalet ve Kalkınma Partisi,32.7,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-01-14,Adalet ve Kalkınma Partisi,31.7,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-01-15,Adalet ve Kalkınma Partisi,34.6,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-01-29,Adalet ve Kalkınma Partisi,34.8,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-02-21,Adalet ve Kalkınma Partisi,33.2,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-02-28,Adalet ve Kalkınma Partisi,36.8,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-02-28,Adalet ve Kalkınma Partisi,32.5,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-03-05,Adalet ve Kalkınma Partisi,31.2,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-03-21,Adalet ve Kalkınma Partisi,34.5,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-05,Adalet ve Kalkınma Partisi,29.8,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-07,Adalet ve Kalkınma Partisi,27.3,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-21,Adalet ve Kalkınma Partisi,32.2,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-22,Adalet ve Kalkınma Partisi,32.5,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-24,Adalet ve Kalkınma Partisi,31.1,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-25,Adalet ve Kalkınma Partisi,30.4,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
2023-04-29,Adalet ve Kalkınma Partisi,30.9,Right-wing,National conservatism Social conservatism Right-wing populism Neo-Ottomanism,https://en.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi
