party,party_display_name,display_name,political_position,ideology,wikipedia_url
Servant of the People,Servant of the People,,Centre,Liberalism ( Ukraine ) Valence populism,https://en.wikipedia.org/wiki/Servant_of_the_People_(political_party)
Opposition Platform — For Life,Opposition Platform — For Life,,Left-wing,Social democracy Left-wing populism Centrism Russophilia,https://en.wikipedia.org/wiki/Opposition_Platform_%E2%80%94_For_Life
European Solidarity,European Solidarity,,Centre-right,Liberal conservatism National Democracy Decentralisation Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/European_Solidarity
Batkivshchyna,Batkivshchyna,,Centre-left Faction: Centre to centre-right,Populism Social democracy National Democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
Holos,Holos,,Centre-right,Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Holos_(political_party)
Strength and Honor,Strength and Honor,,Centre-right,Conservatism Constitutional democracy Fiscal conservatism Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Strength_and_Honor_(political_party)
Opposition Bloc,Opposition Bloc,,Centre to centre-left,Social liberalism Regionalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Opposition_Bloc
Ukrainian Strategy of Groysman,Ukrainian Strategy of Groysman,,Centre to centre-left,Pro-Europeanism,https://en.wikipedia.org/wiki/Ukrainian_Strategy_of_Groysman
Civil Position,Civil Position,,Centre,Conservatism Economic liberalism Centrism Pro-Europeanism,https://en.wikipedia.org/wiki/Civil_Position
Radical Party of Oleh Liashko,Radical Party of Oleh Liashko,,Left-wing,Social democracy Left-wing populism Left-wing nationalism Liberal nationalism Economic nationalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Radical_Party_of_Oleh_Liashko
Svoboda,Svoboda,,Far-right,Neo-fascism Ultranationalism Ukrainian nationalism Ethnic nationalism Right-wing populism National conservatism Anti-Russian sentiment Anti-communism,https://en.wikipedia.org/wiki/Svoboda_(political_party)
Party of Shariy,Party of Shariy,,Right-wing,Libertarianism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Party_of_Shariy
Self Reliance,Self Reliance,,Centre-right,Christian democracy Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Self_Reliance_(political_party)
Nashi,Nashi,,Syncretic,Social conservatism,https://en.wikipedia.org/wiki/Nashi_(political_party)
,,,,,
Agrarian Party of Ukraine,Agrarian Party of Ukraine,,Centre to centre-right,Agrarianism Liberal conservatism,https://en.wikipedia.org/wiki/Agrarian_Party_of_Ukraine
UKROP,UKROP,,,Ukrainian nationalism Social market economy,https://en.wikipedia.org/wiki/UKROP
Movement of New Forces,Movement of New Forces,,Centre,Liberalism Pro-Europeanism Anti-corruption,https://en.wikipedia.org/wiki/Movement_of_New_Forces
People's Front,People's Front,,Centre-right to right-wing,Nationalism National Democracy Social conservatism Economic liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/People%27s_Front_(Ukraine)
Ukrainian Democratic Alliance for Reform,Ukrainian Democratic Alliance for Reform,,Centre-right,Liberalism Civic nationalism Pro-Europeanism,https://en.wikipedia.org/wiki/Ukrainian_Democratic_Alliance_for_Reform
Democratic Alliance,Democratic Alliance,,Centre-right,Christian democracy,https://en.wikipedia.org/wiki/Democratic_Alliance_(Ukraine)
Strong Ukraine,Strong Ukraine,,Centre to centre-left,Social liberalism,https://en.wikipedia.org/wiki/Strong_Ukraine
Right Sector,Right Sector,,Right-wing to far-right,Ukrainian nationalism Ultranationalism Revolutionary nationalism Anti-Russian sentiment Anti-communism Religious conservatism Hard Euroscepticism,https://en.wikipedia.org/wiki/Right_Sector
Serhiy Prytula,Serhiy Prytula,,Holos (2019–2022),,https://en.wikipedia.org/wiki/Serhiy_Prytula
Smart Politics,Smart Politics,,,Anti-corruption Reformism,https://en.wikipedia.org/wiki/Smart_Politics_(Ukraine)
National Corps,National Corps,,Far-right,Ukrainian nationalism Ultranationalism Euroscepticism Economic nationalism Right-wing populism Anti-Russian sentiment Third Position,https://en.wikipedia.org/wiki/National_Corps
Platform for Life and Peace,Platform for Life and Peace,,Centre-left,Social democracy Pro-Europeanism Russophilia,https://en.wikipedia.org/wiki/Platform_for_Life_and_Peace
For the Future,For the Future,,Centre-right [ citation needed ],Liberalism Economic nationalism Populism,https://en.wikipedia.org/wiki/For_the_Future_(political_party)
Proposition,Proposition,,,Regionalism,https://en.wikipedia.org/wiki/Proposition_(political_party)
Ukraine is Our Home,Ukraine is Our Home,,Centre (claimed),Social conservatism (claimed) Pro-Europeanism (claimed) Russophilia (alleged),https://en.wikipedia.org/wiki/Ukraine_is_Our_Home
Our Land,Our Land,,Centre,Welfarism Regionalism Decentralization Russophilia,https://en.wikipedia.org/wiki/Our_Land_(Ukraine)
"All-Ukrainian Union ""Fatherland""",Batkivshchyna,,Centre-left Faction: Centre to centre-right,Populism Social democracy National Democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/All-Ukrainian_Union_%22Fatherland%22
Voice,Holos,,Centre-right,Liberalism ( Ukraine ) Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Voice_(Ukrainian_political_party)
Opposition Bloc — Party for Peace and Development,Opposition Bloc,,Centre to centre-left,Social liberalism Regionalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Opposition_Bloc_%E2%80%94_Party_for_Peace_and_Development
Ukrainian Strategy,Ukrainian Strategy of Groysman,,Centre to centre-left,Pro-Europeanism,https://en.wikipedia.org/wiki/Ukrainian_Strategy
Radical Party of Oleh Lyashko,Radical Party of Oleh Liashko,,Left-wing,Social democracy Left-wing populism Left-wing nationalism Liberal nationalism Economic nationalism Soft Euroscepticism,https://en.wikipedia.org/wiki/Radical_Party_of_Oleh_Lyashko
#cite note-have 4% or more-2,#cite note-have 4% or more-2,,,,
"Petro Poroshenko Bloc ""Solidarity""",European Solidarity,,Centre-right,Liberal conservatism National Democracy Decentralisation Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Petro_Poroshenko_Bloc_%22Solidarity%22
#cite note-ReferenceA-3,#cite note-ReferenceA-3,,,,
Opposition Bloc — Party of Peace and Development,Opposition Bloc,,Centre to centre-left,Social liberalism Regionalism Russophilia Euroscepticism,https://en.wikipedia.org/wiki/Opposition_Bloc_%E2%80%94_Party_of_Peace_and_Development
For life,Opposition Platform — For Life,,Left-wing,Social democracy Left-wing populism Centrism Russophilia,https://en.wikipedia.org/wiki/For_life_(political_party)
#cite note-7,#cite note-7,,,,
File:Radical Party of Oleh Lyashko logo.png,File:Radical Party of Oleh Lyashko logo.png,,,,
Mikheil Saakashvili,Mikheil Saakashvili,,,,
Valerii Zaluzhnyi,Valerii Zaluzhnyi,,,,
Oleksii Arestovych,Oleksii Arestovych,,,,
Kyrylo Budanov,Kyrylo Budanov,,,,
Denys Prokopenko,Denys Prokopenko,,,,
