date,party,polling_value,political_position,ideology,wikipedia_url
2019-07-21,Batkivshchyna,8.18,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2019-10-23,Batkivshchyna,6.3,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2019-11-24,Batkivshchyna,8.5,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2019-11-30,Batkivshchyna,7.4,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2019-12-17,Batkivshchyna,7.8,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2020-01-21,Batkivshchyna,8.0,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2020-01-26,Batkivshchyna,8.1,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2020-01-27,Batkivshchyna,8.0,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2020-01-28,Batkivshchyna,10.8,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
2020-02-10,Batkivshchyna,10.9,Centre-left Faction: Centre to centre-right,Social democracy National democracy Ukrainian nationalism Pro-Europeanism Faction: Conservatism,https://en.wikipedia.org/wiki/Batkivshchyna
