party,party_display_name,display_name,political_position,ideology,wikipedia_url
Democratic Party of Kosovo,Democratic Party of Kosovo,,Centre-right to right-wing,National conservatism Social conservatism Economic liberalism Kosovo–Albania unionism 1999–2013: Social democracy Social liberalism,https://en.wikipedia.org/wiki/Democratic_Party_of_Kosovo
Alliance for the Future of Kosovo,Alliance for the Future of Kosovo,,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
Social Democratic Initiative,Social Democratic Initiative,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Initiative_(Kosovo)
Democratic League of Kosovo,Democratic League of Kosovo,,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism 1989–2014: Albanian nationalism,https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
Vetëvendosje,Vetëvendosje,,Centre-left to left-wing,Albanian nationalism Democratic socialism,https://en.wikipedia.org/wiki/Vet%C3%ABvendosje
Social Democratic Party of Kosovo,Social Democratic Party of Kosovo,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Kosovo
Serb List,Serb List,,,Serb minority politics,https://en.wikipedia.org/wiki/Serb_List_(Kosovo)
New Kosovo Alliance,New Kosovo Alliance,,Centre to centre-left,Liberalism,https://en.wikipedia.org/wiki/New_Kosovo_Alliance
Alternativa,Alternativa,,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
Guxo,Guxo,,Centre-right,Conservative liberalism [ citation needed ] Liberal conservatism [ citation needed ] Pro-Europeanism [ citation needed ],https://en.wikipedia.org/wiki/Guxo
The Alternative,Alternativa,,Centre,Liberalism,https://en.wikipedia.org/wiki/The_Alternative_(Kosovo)
Justice Party,Justice Party,,Centre-right to right-wing,Islamism Islamic democracy Religious conservatism Social conservatism Economic liberalism,https://en.wikipedia.org/wiki/Justice_Party_(Kosovo)
