date,party,polling_value,political_position,ideology,wikipedia_url
2018-02-02,Alliance for the Future of Kosovo,14.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-04-02,Alliance for the Future of Kosovo,12.1,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-04-25,Alliance for the Future of Kosovo,17.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-06-05,Alliance for the Future of Kosovo,10.4,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-09-05,Alliance for the Future of Kosovo,8.8,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-09-28,Alliance for the Future of Kosovo,10.1,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-12-18,Alliance for the Future of Kosovo,12.6,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2019-10-04,Alliance for the Future of Kosovo,11.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2019-10-06,Alliance for the Future of Kosovo,10.58,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2019-10-06,Alliance for the Future of Kosovo,12.3,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2020-12-23,Alliance for the Future of Kosovo,7.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-07,Alliance for the Future of Kosovo,8.6,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-15,Alliance for the Future of Kosovo,7.5,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-17,Alliance for the Future of Kosovo,6.4,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-22,Alliance for the Future of Kosovo,7.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-22,Alliance for the Future of Kosovo,7.2,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-29,Alliance for the Future of Kosovo,7.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-01-30,Alliance for the Future of Kosovo,7.2,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-02-02,Alliance for the Future of Kosovo,5.5,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2021-02-12,Alliance for the Future of Kosovo,7.8,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-02-12,Alliance for the Future of Kosovo,7.7,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-03-15,Alliance for the Future of Kosovo,7.2,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-05-15,Alliance for the Future of Kosovo,6.5,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-06-18,Alliance for the Future of Kosovo,6.7,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-07-07,Alliance for the Future of Kosovo,11.9,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-08-07,Alliance for the Future of Kosovo,10.1,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-09-07,Alliance for the Future of Kosovo,7.7,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-12-07,Alliance for the Future of Kosovo,6.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2022-12-23,Alliance for the Future of Kosovo,7.3,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2025-02-09,Alliance for the Future of Kosovo,8.0,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2025-03-09,Alliance for the Future of Kosovo,3.8,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2025-06-09,Alliance for the Future of Kosovo,4.6,Right-wing,National conservatism Economic liberalism Kosovo–Albania unionism Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Kosovo
2018-02-02,Alternativa,1.0,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2018-04-02,Alternativa,0.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2018-09-05,Alternativa,0.6,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2018-09-28,Alternativa,0.6,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2022-08-07,Alternativa,0.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2022-09-07,Alternativa,0.3,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2022-12-23,Alternativa,0.2,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2023-12-23,Alternativa,0.1,Centre,Liberalism,https://en.wikipedia.org/wiki/Alternativa_(Kosovo)
2018-02-02,Democratic League of Kosovo,24.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-04-02,Democratic League of Kosovo,21.2,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-04-25,Democratic League of Kosovo,25.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-06-05,Democratic League of Kosovo,30.8,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-09-05,Democratic League of Kosovo,23.8,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-09-28,Democratic League of Kosovo,28.3,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2018-12-18,Democratic League of Kosovo,27.1,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2019-10-04,Democratic League of Kosovo,32.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2019-10-06,Democratic League of Kosovo,30.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2019-10-06,Democratic League of Kosovo,27.9,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2020-12-23,Democratic League of Kosovo,14.9,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-07,Democratic League of Kosovo,15.7,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-15,Democratic League of Kosovo,16.3,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-17,Democratic League of Kosovo,10.3,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-22,Democratic League of Kosovo,16.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-22,Democratic League of Kosovo,17.4,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-29,Democratic League of Kosovo,17.2,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-01-30,Democratic League of Kosovo,16.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-02-02,Democratic League of Kosovo,15.5,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2021-02-12,Democratic League of Kosovo,19.35,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-02-12,Democratic League of Kosovo,24.1,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-03-15,Democratic League of Kosovo,19.4,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-05-15,Democratic League of Kosovo,17.7,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-06-18,Democratic League of Kosovo,20.3,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-07-07,Democratic League of Kosovo,25.1,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-08-07,Democratic League of Kosovo,21.6,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-09-07,Democratic League of Kosovo,22.3,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-12-07,Democratic League of Kosovo,22.2,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2022-12-23,Democratic League of Kosovo,19.8,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2023-12-23,Democratic League of Kosovo,17.9,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2024-02-22,Democratic League of Kosovo,21.5,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2024-04-05,Democratic League of Kosovo,16.0,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2024-05-06,Democratic League of Kosovo,18.2,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2024-06-10,Democratic League of Kosovo,19.2,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
2024-06-15,Democratic League of Kosovo,15.5,Centre-right 1989–2014: Right-wing,Liberal conservatism Social conservatism Economic liberalism Pro-Europeanism 1989–2014: Albanian nationalism ( Right-wing nationalism ),https://en.wikipedia.org/wiki/Democratic_League_of_Kosovo
